song,artist,tags,lyrics
Feather,Sabrina Carpenter,"['pop', 'jazz', 'r&b', 'reggae']","38 ContributorsTranslationsPortuguêsEspañolHrvatski한국어Feather Lyrics
(Do-do-do, do-do-do, do-do-do, do-do-do)
(Do-do, do-do-do, do-do-do, do-do-do)
Oh, not another take

Oh, it's like that, I'm your dream come true
When it's on a platter for you
Then you pull back when I try to make plans
More than two hours in advance, mm

I slam the door, I hit ignore
I'm saying, ""No, no, no, no more""
I got you blocked, after this, an afterthought
I finally cut you off

I feel so much lighter like a feather with you off my mind (Ah)
Floatin' through the memories like whatever, you're a waste of time (Ah)
Your signals are mixed, you act like a bitch
You fit every stereotype, ""Send a pic""
I feel so much lighter like a feather with you out my life
With you out my life

(Do-do-do, do-do-do, do-do-do, do-do-do)
(Do-do, do-do-do, do-do-do, do-do-do)
Like a feather, like a feather, like a feather, yeah
You might also like
It feels so good
Not carin' where you are tonight
And it feels so good
Not pretendin' to like the wine you like

I slam the door (Slam the door), I hit ignore (Hit ignore)
I'm saying, ""No, no, no, no more""
I got you blocked, excited to never talk, I
I'm so sorry for your loss

I feel so much lighter like a feather with you off my mind (Ah)
Floatin' through the memories like whatever, you're a waste of time (Ah)
Your signals are mixed, you act like a bitch (A bitch)
You fit every stereotype, ""Send a pic""
I feel so much lighter like a feather with you out my life
With you out my life

(Do-do-do, do-do-do, do-do-do, do-do-do)
Ah, mm
(Do-do, do-do-do, do-do-do, do-do-do)
Like a feather, like a feather, like a feather
You want me? I'm done
You miss me? No duh
Where I'm at, I'm up where I'm at
You want me? I'm done (I'm done)
You miss me? No duh (No duh)
Where I'm at, I'm up (I'm up) where I'm at

You want me? I'm done
(I feel so much lighter like a feather with you off my mind)
You miss me? No duh
Where I'm at, I'm up where I'm at
(Like a feather, like a feather, like a feather)
You want me? I'm done
(I feel so much lighter like a feather with you off my mind)
You miss me? No duh
Where I'm at, I'm up where I'm at
(Like a feather, like a feather, like a feather, yeah)6Embed"
Last Christmas,Wham!,['reggae'],"86 ContributorsTranslationsDeutschFrançaisNederlandsChinese TraditionalLast Christmas Lyrics
(Happy Christmas)
Ah, ah-ah
Ooh-woah
Oh-oh

Last Christmas, I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I'll give it to someone special
Last Christmas, I gave you my heart
But the very next day, you gave it away (You gave it away)
This year, to save me from tears
I'll give it to someone special (Special)

Once bitten and twice shy
I keep my distance, but you still catch my eye
Tell me, baby, do you recognise me?
Well, it's been a year, it doesn't surprise me
""Happy Christmas,"" I wrapped it up and sent it
With a note saying, ""I love you,"" I meant it
Now I know what a fool I've been
But if you kissed me now, I know you'd fool me again
You might also like
Last Christmas, I gave you my heart
But the very next day, you gave it away (You gave it away)
This year, to save me from tears
I'll give it to someone special (Special)
Last Christmas, I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I'll give it to someone special (Special, oh)
Oh, oh, baby

A crowded room, friends with tired eyes
I'm hiding from you and your soul of ice
My God, I thought you were someone to rely on
Me? I guess I was a shoulder to cry on
A face of a lover with a fire in his heart
A man undercover, but you tore me apart
Ooh-ooh
Now I've found a real love, you'll never fool me again

Last Christmas, I gave you my heart
But the very next day, you gave it away (You gave it away)
This year, to save me from tears
I'll give it to someone special (Special)
Last Christmas, I gave you my heart
But the very next day, you gave it away (You gave me away)
This year, to save me from tears
I'll give it to someone special (Special)
A face on a lover with a fire in his heart (I gave you my heart)
A man undercover, but you tore him apart
Maybe next year
I'll give it to someone, I'll give it to someone special

Special
Someone
Someone
I'll give it to someone, I'll give it to someone special
Who give me something in return
(I'll give it to someone, I'll give it to someone)
Hold my heart and watch it burn
I'll give it to someone, I'll give it to someone special
I thought you were here to stay
How could you love me for a day?
I thought you were someone special
I gave you my heart
I'll give it to someone, I'll give it to someone

Last Christmas, I gave you my heart
You gave it away
I'll give it to someone, I'll give it to someone
La-la
La-la-la-la-la
La-la
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la-la-la-la
La-la-la
La-la-la-la-la
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la-la-la-la17Embed"
greedy,Tate McRae,"['jazz', 'reggae']","55 ContributorsTranslationsPortuguêsEspañolDeutschFrançaisItaliano​greedy Lyrics
(Woo)

He said, ""Are you serious? I've tried, but I can't figure out
I've been next to you all night and still don't know what you're about
You keep ta- (Ta-ta-), talkin', but not much comin' out your mouth
Can't you tell that I want you?"", I say, yeah
I would want myself
Baby, please believe me
I'll put you through hell
Just to know me, yeah, yeah
So sure of yourself
Baby, don't get greedy
That shit won't end well
(No, it won't) End well

(Uh-uh, uh-uh-uh, uh-uh, woo)

I see you eyein' me down, but you'll never know much past my name
Or how I'm runnin' this room around and that I'm still half your age
Yeah, you're loo- (Loo-loo-), lookin' at me like I'm some sweet escape
Obvious that you want me, but I said
See Tate McRae LiveGet tickets as low as $26You might also like
I would want myself
Baby, please believe me
I'll put you through hell
Just to know me, yeah, yeah
So sure of yourself
Baby, don't get greedy
That shit won't end well
(No, it won't) End well

He said, ""I'm just curious, is this for real or just an act?
Can't tell if you love or hate me, never met someone like that
Drive me so (So, so) crazy, did you know you got that effect?""
I said, ""Lemme check, yeah""
I would want myself
Baby, please believe me
I'll put you through hell
Just to know me, yeah, yeah
So sure of yourself
Baby, don't get greedy
That shit won't end well
(No, it won't) End well
(I would want myself)
(I would want myself)
I would want myself
(I would want myself)
(I would want myself)
(Uh-uh, uh-uh-uh, uh)22Embed"
Flashing Lights,Kanye West,"['hip hop', 'r&b', 'reggae']","229 ContributorsTranslationsРусскийEspañolTürkçeFlashing Lights Lyrics
Flashing lights
Flashing lights
Flashing lights
Flashing lights

She don't believe in shootin' stars
But she believe in shoes and cars
Wood floors in the new apartment
Couture from the store's departments
You more like love to start shit
I'm more of the trips to Florida
Ordered the hors d'oeuvres, views of the water
Straight from a page of your favorite author
And the weather so breezy
Man, why can't life always be this easy?
She in the mirror dancin' so sleazy
I get a call like, ""Where are you, Yeezy?""
And try to hit you with the ol-wu-wopte
'Til I got flashed by the paparazzi
Damn, these niggas got me
I hate these niggas more than the Nazis
As I recall, I know you love to show off
But I never thought that you would take it this far
But what do I know?
Flashing lights
What do I know? Know
Flashing lights
You might also like
I know it's been a while, sweetheart
We hardly talk, I was doin' my thing
I know I was foul, baby
A-bay, lately, you've been all on my brain
And if somebody would've told me a month ago
Frontin' though, yo, I wouldn't wanna know
If somebody would've told me a year ago
It'll go get this difficult
Feelin' like Katrina with no FEMA
Like Martin with no Gina
Like a flight with no Visa
First class with the seat back, I still see ya
In my past, you on the other side of the glass
Of my memory's museum
I'm just sayin', ""Hey, Mona Lisa
Come home, you know you can't roam without Caesar""

As I recall, I know you love to show off
But I never thought that you would take it this far
But what do I know?
Flashing lights
What do I know? Know
Flashing lights
As you recall, you know I love to show off
But you never thought that I would take it this far
But what do you know?
Flashing lights
What do you know? Know
Flashing lights
Flashing lights
Flashing lights172Embed"
Father Stretch My Hands Pt. 1,Kanye West,"['pop', 'hip hop', 'jazz', 'r&b', 'reggae']","321 ContributorsTranslationsEspañolPortuguêsPolskiItalianoFrançaisSvenskaTürkçeРусскийFather Stretch My Hands, Pt. 1 Lyrics
You're the only power (Power)
You're the only power that can
You're the only power (Power)
You're the only power that can
Oh, oh, oh, Father
(If young Metro don't trust you, I'm gon' shoot you)

Beautiful mornin', you're the sun in my mornin', babe
Who can I turn to?
Nothin' unwanted
After all, who can I turn to?
Beautiful mornin', you're the sun in my mornin', babe
If I don't turn to you
Nothin' unwanted
No other help I know, I stretch my hands

I just wanna feel liberated, I-I, na-na-na
Who can I turn to?
I just wanna feel liberated, I-I, na-na-na
After all, who can I turn to?
If I ever instigated, I am sorry
If I don't turn to you
Tell me who in here could relate, I-I-I
No other help I know, I stretch my hands
You might also like
Now, if I fuck this model
And she just bleached her asshole
And I get bleach on my T-shirt
I'ma feel like an asshole
I was high when I met her
We was down in Tribeca
She'll get under your skin if you let her
She'll get under your skin if you— (Uh)
I don't even wanna talk about it
I don't even wanna talk about it
I don't even wanna say nothin'
Everybody gon' say somethin'
I'd be worried if they said nothin'
Remind me where I know you from
She lookin' like she owe you somethin'
You know just what we want
I wanna wake up with you in my—

Beautiful mornin', you're the sun in my mornin', babe
Who can I turn to?
Beautiful mornin'
Nothin' unwanted
After all, who can I turn to?
Beautiful mornin', you're the sun in my mornin', babe
If I don't turn to you
Nothin' unwanted
No other help I know
I just wanna feel liberated, I-I, na-na-na
Who can I turn to?
I just wanna feel liberated, I-I, na-na-na
After all, who can I turn to?
If I ever instigated, I am sorry
If I don't turn to you
Tell me who in here could relate, I-I-I
No other help I know, I stretch my hands292Embed"
Stargirl Interlude,The Weeknd,"['hip hop', 'ethnic', 'pop', 'dance', 'jazz']","125 ContributorsTranslationsTürkçeEspañolΕλληνικάSvenskaPortuguêsStargirl Interlude Lyrics
I had a vision
A vision of my nails in the kitchen
Scratchin' counter tops, I was screamin'
My back arched like a cat
My position couldn't stop, you were hittin'
And I shouldn't cry, but I love it, starboy
And I shouldn't cry, but I love it (I love it), starboy
And I shouldn't cry, but I love it, starboy
And I shouldn't cry, but I love it, starboy

I just wanna see you shine 'cause I know you are a stargirl
I just wanna see you shine 'cause I know you are a stargirl
I just wanna see you shine 'cause I know you are a stargirl
I just wanna see you shine 'cause I know you are a stargirlYou might also like63Embed"
Agora Hills,Doja Cat,"['hip hop', 'r&b', 'reggae']","140 ContributorsTranslationsPortuguêsEspañolDeutschTürkçeAgora Hills Lyrics
Ooh
Yeah, yeah

Kissin' and hope they caught us (Ah)
Whether they like or not (Not)
I wanna show you off (Off)
I wanna show you off (Off)
I wanna brag about it (Yeah)
I wanna tie the knot (Knot)
I wanna show you off (Off)
I wanna show you off (Off)

I wanna show you (Off)
Yeah, yeah
I wanna show you off (Off)
I wanna show you off (Off)
I wanna show you (Yeah)
Yeah, yeah
I wanna show you off (Off)
I wanna show you off (Off)
I wanna show you

Hold my hand
You can hit while they watch, boy
See Doja Cat LiveGet tickets as low as $98You might also like
So, 9:30? I'll see you there
No, you hang up, you hang up

Somethin' different about you
Love it when he hit and smack too
Baby, let me lick on your tattoos
That's true that I like PDA, take it to a seedy place
Suck a little dick in the bathroom
""Who that man with the big strong hands
On her ass in the club with the paps?"" Baby, that's you
Front-seat chillin' with the window down
I be ten toеs down on the dash, gettin' fast food
Hope you can handlе the heat, put your name in the streets
Get used to my fans lookin' at you
Fuck what they heard, I don't fuck with them birds
I'm a mean kitty, don't get stabbed with the rat tooth
Boys be mad that I don't fuck incels
Girls hate too, gun to their pigtail
I love you, I wanna big chill
Boy, don't trip, I'll split a big bill
Take you 'round the world, they don't have to understand
Rub it in their face, put a rock on her hand

Baby, can you call me back? I miss you
It's so lonely in my mansion
Kissin' and hope they caught us (Ah)
Whether they like or not (Not)
I wanna show you off (Off)
I wanna show you off (Off)
I wanna brag about it (Yeah)
I wanna tie the knot (Knot)
I wanna show you off (Off)
I wanna show you off (Off)

I wanna show you (Off)
Yeah, yeah
I wanna show you off (Off)
I wanna show you off (Off)
I wanna show you (Yeah)
Yeah, yeah
I wanna show you off (Off)
I wanna show you off (Off)
I wanna show you

Hold my hand
You can hit while they watch, boy

Ah, sorry, I was takin' a sip of my root beer
'Cause love is pain, but I need this shit (Yeah)
We fuck too good when the bean kicks in
Like Fortnite, I'ma need your skin (Yeah)
Don't give a fuck where the penis been (Uh)
Boy, you're the one, you're the only man
Me and you on my OnlyFans
Holy cow, you're the Holy Trin'
Hold me down when a hole need dick
Be my security, it's your therapy
With you, I ain't holding shit back
When I need my space, you give that
When he broke my heart, you fixed that
With a long walk on the beach
Love it when they honk-honk on the street (Beep)
When they see us zoom by in the Jeep (Yeah)
We a whole damn joint, we a energy
Baby, we could just ride on our enemies
They all wanna know how you get to me
Let 'em feel how they feel and be Philistines
'Cause this type of love's the epitome, said

Baby, you're literally capping to me right now
Like why are you capping me?
You just cap so hard, it's— I don't know what to do

Kissin' and hope they caught us (Ah)
Whether they like or not (Not)
I wanna show you off (Off)
I wanna show you off (Off)
I wanna brag about it (Yeah)
I wanna tie the knot (Knot)
I wanna show you off (Off)
I wanna show you off (Off)

I wanna show you (Off)
Yeah, yeah
I wanna show you off (Off)
I wanna show you off (Off)
I wanna show you (Yeah)
Yeah, yeah
I wanna show you off (Off)
I wanna show you off (Off)
I wanna show you

Hold my hand
You can hit while they watch, boy20Embed"
I Wanna Be Yours,Arctic Monkeys,"['pop', 'rock', 'reggae']","116 ContributorsTranslationsTürkçeEspañolFrançaisالعربيةPortuguêsI Wanna Be Yours Lyrics
I wanna be your vacuum cleaner
Breathin' in your dust
I wanna be your Ford Cortina
I will never rust
If you like your coffee hot
Let me be your coffee pot
You call the shots, babe
I just wanna be yours

Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours

I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours

Let me be your 'leccy meter
An' I'll never run out
Let me be the portable heater
That you'll get cold without
I wanna be your setting lotion (Wanna be)
Hold your hair in deep devotion (How deep?)
At least as deep as the Pacific Ocean
I wanna be yours
You might also like
Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours

I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours

I wanna be your vacuum cleaner (Wanna be yours)
Breathin' in your dust (Wanna be yours)
I wanna be your Ford Cortina (Wanna be yours)
I will never rust (Wanna be yours)
I just wanna be yours (Wanna be yours)
I just wanna be yours (Wanna be yours)
I just wanna be yours (Wanna be yours)223Embed"
Bad Idea Right?,Olivia Rodrigo,"['pop', 'rock']","82 ContributorsTranslationsPortuguêsEspañolTürkçeDeutschSvenskaItalianoفارسیالعربيةFrançaisPolskiРусскийУкраїнська​bad idea right? Lyrics
Hey

Haven't heard from you in a couple of months
But I'm out right now and I'm all fucked up
And you're callin' my phone and you're all alone
And I'm sensing some undertone
And I'm right here with all my friends
But you're sending me your new address
And I know we're done, I know we're through
But, God, when I look at you

My brain goes, ""Ah""
Can't hear my thoughts (I cannot hear my thoughts)
Like blah-blah-blah (Blah, blah, blah, blah, blah, blah)
Should probably not
I should probably, probably not
I should probably, probably not

Seeing you tonight
It's a bad idea, right?
Seeing you tonight
It's a bad idea, right?
Seeing you tonight
It's a bad idea, right?
Seeing you tonight
Fuck it, it's fine
See Olivia Rodrigo LiveGet tickets as low as $53You might also like
Yes, I know that he's my ex
But can't two people reconnect?
I only see him as a friend
The biggest lie I ever said
Oh, yes, I know that he's my ex
But can't two people reconnect?
I only see him as a friend
I just tripped and fell into his bed

Now I'm gettin' in the car, wreckin' all my plans
I know I should stop, but I can't
And I told my friends I was asleep
But I never said where or in whose sheets
And I pull up to your place on the second floor
And you're standing, smiling at the door
And I'm sure I've seen much hotter men
But I really can't remember when

My brain goes, ""Ah""
Can't hear my thoughts (I cannot hear my thoughts)
Like blah-blah-blah (Blah, blah, blah, blah, blah, blah)
Should probably not
I should probably, probably not
I should probably, probably not
Seeing you tonight
It's a bad idea, right?
Seeing you tonight
It's a bad idea, right?
Seeing you tonight
It's a bad idea, right?
Seeing you tonight
Fuck it, it's fine

Yes, I know that he's my ex
But can't two people reconnect?
I only see him as a friend
The biggest lie I ever said
Oh, yes, I know that he's my ex
But can't two people reconnect?
I only see him as a friend
I just tripped and fell into his bed

Oh, yes, I know that he's my ex
Can't two people reconnect?
The biggest lie I ever said
I just tripped and fell into his bed
My brain goes, ""Ah""
Can't hear my thoughts
The biggest lie I ever said
My brain goes, ""Ah""
Can't hear my thoughts
I just tripped and fell into his bed
Thoughts
Blah
Thoughts
Blah16Embed"
Santa Tell Me,Ariana Grande,['blues'],"58 ContributorsTranslationsEspañolPortuguêsFrançaisAriana Grande - Santa Tell Me (Polskie Tłumaczenie)*DeutschSanta Tell Me Lyrics
Santa, tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa, tell me if he really cares
'Cause I can't give it all away if he won't be here next year

Feeling Christmas all around
And I'm trying to play it cool
But it's hard to focus when I see him walking 'cross the room
""Let It Snow"" is blasting out
But I won't get in the mood
I'm avoiding every mistletoe until I know it's

True love that he thinks of
So next Christmas I'm not all alone, boy

Santa, tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa, tell me if he really cares
'Cause I can't give it all away if he won't be here next year

I've been down this road before
Fell in love on Christmas night
But on New Year's Day, I woke up and he wasn't by my side
Now I need someone to hold
Be my fire in the cold
But it's hard to tell if this is just a fling or if it's
You might also like
True love that he thinks of
So next Christmas I'm not all alone, boy

Santa, tell me if you're really there
Don't make me fall in love again if he won't be here next year
Santa, tell me if he really cares
'Cause I can't give it all away if he won't be here next year

Oh, I wanna have him beside me, like oh-woo-oh
On the 25th, by that fireplace, oh-woo-oh
But I don't want a new broken heart
This year I've got to be smart
Oh, baby
(Santa, tell me, Santa, tell me)
If he will be, if he will be here
(Santa, tell me, Santa, tell me)
Oh, woah

Santa, tell me (Santa, tell me) if you're really there ('Cause I really care)
Don't make me fall in love again if he won't be here next year
Santa, tell me (Tell me) if he really cares (Tell me, boy)
'Cause I can't give it all away if he won't be here next year
Santa, tell me (Tell me) if you're really there (Santa, baby)
Don't make me fall in love again if he won't be here next year (If he won't be, if he won't be here)
Santa, tell me (Tell me) if he really cares (Do you care?)
'Cause I can't give it all away if he won't be here next year63Embed"
Jingle Bell Rock,Bobby Helms,['blues'],"41 ContributorsJingle Bell Rock Lyrics
Jingle bell, jingle bell, jingle bell rock
Jingle bells swing and jingle bells ring
Snowin' and blowin' up bushels of fun
Now, the jingle hop has begun

Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancin' and prancin' in Jingle Bell Square
In the frosty air

What a bright time, it's the right time
To rock the night away
Jingle bell time is a swell time
To go glidin' in a one-horse sleigh

Giddy up, jingle horse, pick up your feet
Jingle around the clock
Mix and a-mingle in the jinglin' feet
That's the jingle bell rock

Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancin' and prancin' in Jingle Bell Square
In the frosty air
You might also like
What a bright time, it's the right time
To rock the night away
Jingle bell time is a swell time
To go glidin' in a one-horse sleigh

Giddy up, jingle horse, pick up your feet
Jingle around the clock
Mix and a-mingle in the jinglin' feet
That's the jingle bell
That's the jingle bell
That's the jingle bell rock7Embed"
Dark Red,Steve Lacy,"['pop', 'rock', 'r&b', 'reggae']","100 ContributorsTranslationsРусскийDark Red Lyrics
Something bad is 'bout to happen to me
I don't know what, but I feel it coming
Might be so sad, might leave my nose running
I just hope she don't wanna leave me (Babe)

Don't you give me up, please don't give up
On me, I belong, with you, and only you, babe
Only you, my girl, only you, babe
Only you, darling, only you, babe
Only you, my girl, only you, babe
Only you, darling, only you

Something bad is 'bout to happen to me
Why I feel this way? I don't know, maybe
I think of her so much, it drives me crazy
I just don't want her to leave me (Babe)

Don't you give me up, please don't give up
On me, I belong with you, and only you, babe
Only you, my girl, only you, babe
Only you, darling, only you, babe
Only you, my girl, only you, babe
Only you, darling, only you
See Steve Lacy LiveGet tickets as low as $88You might also like
What if she's fine?
It's my mind that's wrong
And I just let bad thoughts
Linger for far too long
What if (If) she’s fine? (Fine)
It’s my mind that’s wrong
And I just (Just) let bad thoughts (Thoughts)
Linger for far too long

Don't you give me up, please don't give up
On me, I belong, with you, only you, babe
Only you, my girl, only you, babe
Only you, darling, only you, babe
Only you, my girl, only you, babe
Only you, darling, only you79Embed"
Paint the Town Red,Doja Cat,"['hip hop', 'r&b', 'reggae']","128 ContributorsTranslationsTürkçeDeutschEspañolPortuguêsFrançaisPaint The Town Red Lyrics
By
Walk on by
Walk on by
Walk on by
Walk on by

Yeah, bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don’t care, I paint the town red
Bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red

Mm, she the devil
She a bad lil’ bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle
Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle (Yeah, yeah)
See Doja Cat LiveGet tickets as low as $98You might also like
Said my happiness is all of your misery
I put good dick all in my kidneys
This Margiel' don't come with no jealousy
My illness don't come with no remedy
I am so much fun without Hennessy
They just want my love and my energy
You can't talk no shit without penalties
Bitch, I’m in yo’ shit if you send for me
I'm going to glow up one more time
Trust me, I have magical foresight
You gon’ see me sleepin' in courtside
You gon' see me eatin' ten more times
Ugh, you can’t take that bitch nowhere
Ugh, I look better with no hair
Ugh, ain't no sign I can't smoke here
Ugh, gimme the chance and I'll go there (Yeah)

Yeah, bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red
Bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red
Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle
Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle (Yeah, yeah)

Said pop make money, now you try, bitch
You could use a revamp with a new vibe, sis
I don't need a big feature or a new sidekick
I don't need a new fan 'cause my boo like it
I don't need to wear a wig to make you like it
I'm a two-time bitch, you ain't knew I'd win?
Throw a shot like you tryna have a food fight then
All my opps waitin' for me to be you, I bet
Said I got drive, I don't need a car
Money really all that we fiendin' for
I'm doin' things they ain't seen before
Fans ain't dumb, but extremists are
I'm a demon lord
Fall off what? I ain't seen the horse
Called your bluff, better cite the source
Fame ain't somethin' that I need no more
'Cause, bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red
Bitch, I said what I said
I'd rather be famous instead
I let all that get to my head
I don't care, I paint the town red

Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle
Mm, she the devil
She a bad lil' bitch, she a rebel
She put her foot to the pedal
It'll take a whole lot for me to settle
Walk on by
Walk on by
Walk on by
Walk on by
Walk on by12Embed"
The Less I Know the Better,Tame Impala,"['pop', 'reggae']","159 ContributorsTranslationsFrançaisTürkçeEspañolPortuguêsItalianoDeutschThe Less I Know the Better Lyrics
Someone said they left together
I ran out the door to get her
She was holding hands with Trevor
Not the greatest feeling ever
Said, ""Pull yourself together
You should try your luck with Heather""
Then I heard they slept together
Oh, the less I know the better
The less I know the better

Oh, my love, can't you see yourself by my side?
No surprise, leanin' on his shoulder like every night
Oh, my love, can't you see that you're on my mind?
Don't suppose you could convince your lover to change his mind
So goodbye

She said, ""It's not now or never
Wait ten years, we'll be together""
I said, ""Better late than never
Just don't make me wait forever""
Don't make me wait forever
Don't make me wait forever
You might also like
Oh, my love, can't you see yourself by my side?
I don't suppose you could convince your lover to change his mind

I was doing fine without ya
'Til I saw your face, now I can't erase
Givin' in to all his bullshit
Is this what you want? Is this who you are?
I was doing fine without ya
'Til I saw your eyes turn away from mine
All sweet talkin', where he wants ya
So, come on, Superman, say your stupid line
So, come on, Superman, say your stupid line
So, come on, Superman, say your stupid line206Embed"
505,Arctic Monkeys,"['pop', 'rock', 'reggae']","193 ContributorsTranslationsTürkçeEspañolРусскийItalianoFrançaisPortuguêsDeutsch505 Lyrics
I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side
With your hands between your thighs

Stop and wait a sec
And when you look at me like that, my darlin'
What did you expect?
I'd probably still adore you
With your hands around my neck
Or I did last time I checked
Not shy of a spark
The knife twists at the thought
That I should fall short of the mark
Frightened by the bite, though
It's no harsher than the bark
The middle of adventure
Such a perfect place to start

I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side
With your hands between your thighs
You might also like
But I crumble completely when you cry
It seems like once again you've had to greet me with goodbye
I'm always just about to go and spoil the surprise
Take my hands off of your eyes too soon

I'm going back to 505
If it's a seven hour flight or a forty-five minute drive
In my imagination, you're waitin' lyin' on your side
With your hands between your thighs and a smile299Embed"
Why'd You Only Call Me When You're High?,Arctic Monkeys,"['pop', 'rock', 'r&b', 'reggae']","87 ContributorsTranslationsFrançaisDeutschEspañolWhy’d You Only Call Me When You’re High? Lyrics
The mirror's image tells me it's home time
But I'm not finished, 'cause you're not by my side
And as I arrived I thought I saw you leavin'
Carryin' your shoes
Decided that once again I was just dreamin'
Of bumpin' into you

Now, it's three in the mornin'
And I'm tryna' change your mind
Left you multiple missed calls
And to my message, you reply
""Why'd you only call me when you're high?""
""Hi, why'd you only call me when you're high?""

Somewhere darker, talkin' the same shite
I need a partner, (High) well are you out tonight?
It's harder and harder to get you to listen
More I get through the gears
Incapable of makin' alright decisions
And having bad ideas

Now, it's three in the mornin'
And I'm tryna' change your mind
Left you multiple missed calls
And to my message, you reply (Message, you reply)
""Why'd you only call me when you're high?""
(Why'd you only call me when you're)
""Hi, why'd you only call me when you're high?""
You might also like
And I can't see you here, wonder where I might
It sort of feels like I'm runnin' out of time
I haven't found all I was hopin' to find
You said you got to be up in the mornin'
Gonna have an early night
And you're startin' to bore me, baby
""Why'd you only call me when you're high?""

""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're high?""
""Why'd you only ever phone me when you're (high)?""227Embed"
Sweater Weather,The Neighbourhood,"['pop', 'rock', 'r&b', 'reggae', 'ethnic']","186 ContributorsTranslationsTürkçePortuguêsDanskРусскийPortuguêsFrançaisDeutschSweater Weather Lyrics
And all I am is a man
I want the world in my hands
I hate the beach, but I stand
In California with my toes in the sand
Use the sleeves of my sweater, let's have an adventure
Head in the clouds, but my gravity's centered
Touch my neck and I'll touch yours
You in those little high-waisted shorts, oh

She knows what I think about
And what I think about
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn't wanna tell you about, no

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater

And if I may just take your breath away
I don't mind if there's not much to say
Sometimes the silence guides a mind
To move to a place so far away
The goosebumps start to raise
The minute that my left hand meets your waist
And then I watch your face
Put my finger on your tongue 'cause you love the taste, yeah
These hearts adore
Everyone the other beats hardest for
Inside, this place is warm
Outside, it starts to pour
You might also like
Comin' down
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothin' that I wouldn't wanna tell you about
No, no, no

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
Woah

Woah, woah, woah
Woah, woah, woah, woah
Woah, woah
Woah, woah, woah, woah
Woah, woah

'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
Let me hold both your hands in the holes of my sweater
And it's too cold, it's too cold
The holes of my sweater515Embed"
