song,artist,genres,lyrics
Dont Stop,Child Rebel Soldier,['hip hop'],"[Intro: Pharrell Williams]
Ugh, what

[Verse 1: Pharrell Williams]
Explain yourself, how you sound like me?
The motherfucking Skateboard P
Knowing that you're Milo, playing games like Cee-lo
In a tight situation like speedos
You can have it your way like Carlito
My niggas would be happy to give y'all torpedoes
And have your car twisted like a blunt
For you faggot-ass niggas that like to front
I'm on some BBC Bape shit, I'm on some cake shit
In the kitchen with the heat, making beats in my apron
You hating and you want to erase it
Close your eyes when you know you can't take it
My flow interrupts your homeostasis
I Rolls-Royce it on a regular basis
You talk street shit, it sound like sweet shit
Straight licorice, you niggas sound ticklish
80K large for the Hermès dream
Purple croc in all your magazines
Hunger strike yourself, look like Céline
Dion, me and my niggas like Freon
Your bitch is on my pecan, she got an ass you can eat on
Try to play tough like the leather on a Vuitton
I hit it 'til I could seat on, tryna get her freak on
Ask me to R. Kelly ya and get peed on
I said, ""That ain't me, ma""
That eight behind me still got the burner
Yes, the Enzo is still black like Sojourner
Truth, I might have just loosened a tooth
Spitting what I did in the booth, I'm out, poof
[Verse 2: Lupe Fiasco]
Carrera, raised in the Teenage Mutant Ninja Turtle era
Water-bearer tell the truth, I dare you
You lie, so eat this whole bottle of these jalapeño peppers
For terror made in America too live
Fuck the property or give me my props properly
High off life, this high technology, DeVry
I rep Muhammad Ali, more like rap-ology
My policy's not to be dishonestly deprived
So gimme that, gimme that, keep God where my city at
I'm like Steak With Fries but never died
They wanna Ghostface, wanna be me
But they will post-haste follow me into the afterlife
That means you going right after I've
But I'm the hero, sorta like Jack Sparrow
So some way, somehow, I have survived
Ha, ha, surprised?
Who is he that we see coming over the tides?
In a speed boat, boatload of pride
Fall of Rome, dress-shirted and mastermind tie
He what happens when rapping and avant garde fashion collides
OMG, it's the C from the CRS
LOL-ing at you haters, tell your BFFs like

[Verse 3: Kanye West]
Yes, Mr. West, turn that new Child Rebel
Loud as a badass child level
Who need a chorus? We do it Tyrannosaurus
Tyrone, it's been a year with no phone
Could you explain how high is your zone?
We'll take the plane, rub his nose in cocaine
There's hoes in magazines you layin' saying you're lame
And for the hate in advance, pull down your pants
Make 'em kiss both cheeks like we living in France
Diamonds blue, his business manager's Jewish
And if I get sued, my lawyers Jews
Some girls do grab the cojones
Say, ""You got enough diamonds to at least Sierra loan us""
Brand new Ferraris, I gotta make the donuts
CRS is like a hip-hop Christmas bonus
Niggas is hating on the internet, I couldn't tell
I was too busy rapping G.O.O.D. as hell
I was too busy flying, parasail
To Colette to get the new shit that Paris sell
Tarantino, Da Vinci, getting Benjis
Get half-off at Fendi, half of that's to Cindy's
Hopped out the spaceship, put my Mork in Mindy
Popped too many corks to let you dorks offend me
Props in New York but Chi-Town's the city
Get my groupie hoochies Gucci, Monica Belluccis
Are those the real millionaires or the bendies?
I'm so ultra, I'm even over Oprah
But let me check your account, haha, no sir"
Wild Horses,The Rolling Stones,"['rock', 'alternative', 'blues', 'metal']","[Verse 1]
Childhood living is easy to do
The things you wanted, I bought them for you
Graceless lady, you know who I am
You know I can't let you slide through my hands

[Chorus]
Wild horses couldn't drag me away
Wild, wild horses couldn't drag me away

[Verse 2]
I watched you suffer a dull, aching pain
Now you decided to show me the same
No sweeping exits or offstage lines
Could make me feel bitter or treat you unkind

[Chorus]
Wild horses couldn't drag me away
Wild, wild horses couldn't drag me away

[Verse 3]
I know I dreamed you a sin and a lie
I have my freedom, but I don't have much time
Faith has been broken, tears must be cried
Let's do some living after we die
[Chorus]
Wild horses couldn't drag me away
Wild, wild horses, we'll ride them some day

[Chorus]
Wild horses couldn't drag me away
Wild, wild horses, we'll ride them some day"
Thieves in the Night,Black Star,"['hip hop', 'r&b', 'pop', 'alternative', 'jazz', 'blues', 'rock']","[Intro: Talib Kweli & Mos Def]
Yo D, what? Come on, yeah
What? What? Come on, yeah

[Verse 1: Talib Kweli & Both]
""Give me the fortune, keep the fame"" said my man Louis, I
Agreed, know what he mean because we live the truest lie
I asked him why we follow the law of the bluest eye
He looked at me, he thought about it, was like, ""I'm clueless, why?""
The question was rhetorical, the answer is horrible
Our morals are out of place and got our lives full of sorrow
And so, tomorrow comin' later than usual
Waitin' on someone to pity us
While we find the beauty in the hideous
They say money's the root of all evil, but I can't tell
You know what I mean? — Pesos, francs, yens, cowrie shells
Dollar bills, or is it the mind-state that's ill?
Creatin' crime rates to fill the new prisons they build
Over money and religion, there's more blood to spill
The wounds of slaves in cotton fields that never heal
What's the deal?
A lot of cats who buy records are straight broke
But my language universal, they be recitin' my quotes
While R&B singers hit bad notes, we rock the boat of thought
That my man Louis' statements just provoked
Caught up in conversations of our personal worth
Brought up through endangered species status on the planet Earth
Survival tactics means bustin' gats to prove you hard
Your firearms are too short to box with God
Without faith, all of that is illusionary
Raise my son — no vindication of manhood necessary
[Chorus: Mos Def, Talib Kweli & Both]
Not strong, only aggressive
Not free, we only licensed
Not compassionate, only polite
Now, who the nicest?
Not good, but well behaved
Chasin' after death so we can call ourselves brave?
Still livin' like mental slaves
Hidin' like thieves in the night from life
Illusions of oasis makin' you look twice
Hidin' like thieves in the night from life
Illusions of oasis makin' you look twice

[Verse 2: Mos Def & Both]
Yo, I'm sure that everybody out listenin' agree
That everythin' you see ain't really how it be
A lot of jokers out runnin' in place, chasin' the style
Be a lot goin' on beneath the empty smile
Most cats in my area be lovin' the hysteria
Synthesized surface conceals the interior
America — land of opportunity, mirages and camouflages
More than usually
Speakin' loudly, sayin' nothin', you confusin' me, you losin' me
Your game is twisted, want me enlisted in your usury
Foolishly, most men join the ranks cluelessly
Buffoonishly accept the deception, believe the perception
Reflection rarely seen across the surface of the looking glass
Walkin' the street, wonderin' who they be lookin' past
Lookin' gassed with them imported designer shades on
Stars shine bright, but the light rarely stays on
Same song — just remixed, different arrangement
Put you on a yacht, but they won't call it the slave ship
Strangeness, you don't control us, you barely hold this
Screamin' ""Brand new!"", when they just sanitized the old shit
Suppose it's just another clever Jedi mind trick
That they been runnin' across stars through all the time with
I find it's distressin', there's never no in-between
We either niggas or Kings, we either bitches or Queens
The deadly ritual seems immersed in the perverse
Full of short attention spans, short tempers and short skirts
Long barrel automatics released in short bursts
The length of black life is treated with short worth
Get yours first, them other niggas secondary
That type of illin' that be fillin' up the cemetery
This life is temporary, but the soul is eternal
Separate the real from the lie — let me learn you
Not strong, only aggressive 'cause the power ain't directed
That's why we are subjected to the will of the oppressive
Not free — we only licensed, not live — we just excitin'
'Cause the captors own the masters to what we writin'
Not compassionate, only polite — we well trained
Our sincerity's rehearsed in stage, it's just a game
Not good, but well behaved, 'cause the cameras survey
Most of the things that we think, do or say
We chasin' after death just to call ourselves brave
But everyday, next man meet with the grave
I give a damn if any fan recall my legacy
I'm tryin' to live life in the sight of God's memory
Like that, y'all
[Interlude: Mos Def & Talib Kweli]
A lot of people don't understand the true criterion of things
Can't just accept the appearance, have to get the true essence
They ain't lookin' around

[Chorus: Talib Kweli, Mos Def, & Both]
Not strong, only aggressive
Not free, we only licensed
Not compassionate, only polite
Now, who the nicest?
Not good, but well behaved
Chasin' after death so we can call ourselves brave
Still livin' like mental slaves
Hidin' like thieves in the night from life
Illusions of oasis makin' you look twice
Hidin' like thieves in the night from life
Illusions of oasis makin' you look twice
Hidin' like thieves in the night from life
Illusions of oasis makin' you look twice
Hidin' like thieves in the night from life
Illusions of oasis makin' you look twice

[Outro: Mos Def & Talib Kweli]
Stop hidin', stop hidin'
Stop hidin' yo' face (Yes, c'mon)
Stop hidin', stop hidin' (Celebratin' death)
'Cause ain't no hidin' place
Stop hidin', stop hidin'
Stop hidin' yo' face
Stop hidin', stop hidin' 'cause ain't no hidin' place
Not strong
Not free
Not compassionate
We well trained
Black Star
(Ad libs to fade)
Black Star keep shinin'
We take the Black Star line right on home"
Windows Media Player,Charles Hamilton,"['hip hop', 'alternative', 'r&b', 'jazz', 'pop']","[Verse 1]
Somewhere on the desktop lives
The zip file mixtape of the next pop kid
Let's not kid ourselves, be clear
You see me here I run zShare
And MegaUpload
With my forever steppin' up flow
Just know I'm just wakin' up so
When I yawn, ya'll get more
Not feelin' how I explore
Alt+F4
No one can tell me what I can and cannot do
Tell me be quiet and I holla like Yahoo
Pause
Just in case we got bloggers
Who wanna sit behind keys and start problems
I made the beat, all praise to me
I'm Tom, my Windows, not afraid to peep
So log on like a Jamiacan dancer, download me
Go ahead and take a chance
[Hook]
Charleshamilton.blogspot.com
Theamyrose.blogspot.com
Myspace.com/hamiltonsmusic
I am not charleshamilton.com
Charleshamilton.blogspot.com
Theamyrose.blogspot.com
Charleshamilton.blogspot.com
(I shut the game down, again)

[Verse 2]
Can't nobody stop me, I'm sorry
I was raised in the concrete Safari
You other clowns got hate in your blood
You talk that new shit with Windows 98 in your blood, what?
I don't need some new fad's endorsement
I'm endorsed by these mad important cats
With more than enough to buy your life
But I'm wireless
And your mice
No strings attached when I sling my raps
Real name when I bring the facts
Seen in your favorite magazine with a great pose
Cause I don't pose
Cause I hate pose-ers
Except for one photoshoot
For Complex, what the heck was I supposed to do
I had fun
I acted mad young
I was flyer than the rest of them
Why am I addressing them
[Hook]

[Verse 3]
You ain't catch when I said put my Mac down
Like I got a girl's top on my lap now
That was mad hot
And mad foul
Now that I said it all here think back now
Mac lipgloss
Mac laptop
Girl's top on my lap, that's mad hot
Wow
How arrogant of me to explain a hot bar
From a track I did for free
Sorry 9th, I thought they took care of that shit
I hope Reo-G don't think I did some wack shit
I know how some cats don't play favorites
But I need a favor alright? Okay player
Tell everyone to stop puttin' up hate posts
Before I find they IP address
And straight ghost
Them
Kill 'em or send em a virus
Let me chill before they hack my girl's Sidekick"
The Road Not Taken,Robert Frost,['country'],"Two roads diverged in a yellow wood
And sorry I could not travel both
And be one traveler, long I stood
And looked down one as far as I could
To where it bent in the undergrowth.

Then took the other, as just as fair,
And having perhaps the better claim
Because it was grassy and wanted wear;
Though as for that the passing there
Had worn them really about the same,

And both that morning equally lay
In leaves no step had trodden black.
Oh, I kept the first for another day!
Yet knowing how way leads on to way,
I doubted if I should ever come back.

I shall be telling this with a sigh
Somewhere ages and ages hence:
Two roads diverged in a wood, and I--
I took the one less traveled by,
And that has made all the difference."
Still Fly Freestyle,Drake,['hip hop'],"[Chorus]
I'm still fly I'm sky high and I dare anybody to try and cut my wings
I'm still pullin' out the phantom and these haters can't stand him
Nigga I'm still doin my thing
I'm still fly I'm sky high and I dare anybody to try and cut my wings
I'm still shuttin' cities down every time I come around
Nigga I'm still doin' my thing
I'm still

[Verse]
Responsible for everything you listen to
While mediocre talent proceeds to try and condition you
Took over my city and I never asked permission to;
Started poppin' bottles cuz it's ATL tradtion to
Celebrate at Bymark, fuck 'em at the SoHo
If there ain't a elevator in it it's a no go
Coldest thing droppin' and these bitches want a snow blow
And they just give me head while the haters give me promo
And man, my DJ shoulda won that
Nelissa and Wristpect, Man the city owe us one back
All these old heads keep they minds on one track
And me, I run Toronto, holla at me when you done laps
Roll around with Niko, party with Azuka
Shout goes out to 1da, shout goes out to future
Shout goes out to Getty, motherfucker I am ready
And whoever got the torch just can't seem to hold it steady
Cuz I see the flame flickerin', ex-girls bickerin'
Got these women jockin' me from Heart Lake Road to Pickerin
Tried to send my nigga short some syrup out in Michigan
But my connect said it'd take a minute if you're listenin'
Please start doin' you, I been doin' me
And I'm a staple in my city, you can never ruin me
Rappers are emotional, critics be reviewin' me
But I got love for everybody even if you're suin' me
My brother P-Reign knows, we fuck with the same hoes
Plus he taught me how to spot a officer in plain clothes
Starin' at you pussy niggas, all I see is rainbows
Hoppin' on a jet to every single Lil Wayne show
Me and Lil Jazzy, please do not harass me
Just holla if you got me and fuck you if you had me
Shout out to Brian E, shout out to Photo Will
Shout out to Oliver and 40, man you know the deal
Shout out to Mayhem, shout out to P-Plus
The names I mention are crucial; you gonna need us
And life is good, everything is just fine
I am so sure of my rhymes
I could sacrifice a line like (mumbles)
Yeah, haha, I swear I really fuckin' does it
I had these niggas trippin', no luggage
[Chorus]
I'm still fly I'm sky high and I dare anybody to try and cut my wings
I'm still pullin' out the phantom and these haters can't stand him
Nigga I'm still doin my thing
I'm still fly I'm sky high and I dare anybody to try and cut my wings
I'm still shuttin' cities down every time I come around
Nigga I'm still doin' my thing
I'm still

[Outro]
Drizzy's home baby. Niko just came and scooped me from the airport, like, 3 hours ago, I still got my hotel slippers on and shit
So you know, I'm ready though. It's octobersveryown.blogspot.com, that's where you find all the exclusives at
You know October's Very Own, we got, we got the real life entourage, it's like me, Freeko Suave, Oliver, the Parisian Gangster, 40-40, John B. You know what it is man, Lebanon Dons in this bitch. You already Yeah You can tell I'm at the point where I'm on a ride, I really don't give a fuck rite now I'll tell you that much baby. Huh? Here I go, baby! Here I go! It's not that I'm an asshole, I just live behind a tint, I don't see you. The tints provided by Mosely Tribe by the way, shout out to Mosely Tribe. Shout out to Ransom M Jeezy, I see you boy. Yeah. Should I stop? Here I go!"
Be Healthy,dead prez,"['hip hop', 'r&b', 'pop']","[Intro: stic.man]
It's all love

[Verse 1: stic.man]
I don't eat no meat, no dairy, no sweets
Only ripe vegetables, fresh fruit and whole wheat
I'm from the old school, my household smell like soul food, bro
Curry falafel, barbecued tofu
No fish though, no candy bars, no cigarettes
Only ganja and fresh-squeezed juice from oranges
Exercising daily to stay healthy
And I rarely drink water out the tap, cause it's filthy

[Verse 2: M1]
Lentil soup is mental fruit
And ginger root is good for the yout'
Fresh vegetable with dem ital stew
Sweet yam fries with the green calalloo
Careful how you season and prepare your foods
Cause you don't wanna lose vitamins and minerals
And that's the jewel
Life brings life, it's valuable
So I eat what comes from the ground, it's natural
Let your food be your medicine (uh huh)
No Excederin (uh uh)
Strictly herb, generate in the sun, cause I got melanin
And drink water, eight glasses a day
'Cause that's what they say
[Chorus: stic.man]
They say you are what you eat, so I strive to eat healthy
My goal in life is not to be rich or wealthy
Cause true wealth comes from good health, and wise ways
We got to start taking better care of ourselves
They say you are what you eat, so I strive to eat healthy
My goal in life is not to be rich or wealthy
Cause true wealth comes from good health, and wise ways
We got to start taking better care of ourselves, be
Healthy y'all

[Outro: Prodigy]
Yeah, yeah, yeah, hold the fuck up, yo
We'll take this little intermission, listen what the
Fuck we gotta say, y'know?
Word is bond son, niggas been livin foul for too long, knowamsayin?
Smokin bogeys, fuckin drinkin all types of shit
Wailin out, not givin a fuck what they puttin in they
Bodies, son, knowamsayin?
'Bout time niggas start thinkin about that shit, son, knowamsayin?
That shit is fuckin, makin us deteriorate, son
Word up, we gotta care bout our little babies an shit, son
Niggas got kids to raise, straight up
Ya gotta start learnin yo self, learning bout ya health, son
Learnin this world we live in, kid, knowamsayin?
It's time to start changin' all that shit god, word up
So I'm gonna leave y'all niggas on some shit like that, ya knowamean?
Word up, y'all niggas better start usin y'all minds an
Shit, kid
Peace"
The Bad Touch,Bloodhound Gang,"['rock', 'alternative', 'dance', 'blues', 'jazz', 'pop', 'metal']","[Intro]
Ha-Ha! Well now, we call this the act of mating
But there are several other very important differences
Between human beings and animals that you should know about

(I'd appreciate your input)

[Verse 1]
Sweat baby, sweat baby, sex is a Texas drought
Me and you do the kind of stuff that only Prince would sing about
So put your hands down my pants and I'll bet you'll feel nuts
Yes, I'm Siskel, yes, I'm Ebert and you're getting two thumbs up
You've had enough of two-hand touch, you want it rough, you're out of bounds
I want you smothered, want you covered, like my Waffle House hash browns
Come quicker than FedEx, never reach an apex, just like Coca-Cola stock, you are inclined
To make me rise an hour early, just like Daylight Savings Time

[Chorus]
Do it now
You and me, baby, ain't nothing but mammals
So, let's do it like they do on the Discovery Channel
Do it again now
You and me, baby, ain't nothing but mammals
So, let's do it like they do on the Discovery Channel
Getting horny now
[Horn Interlude]

[Verse 2]
Love, the kind you clean up with a mop and bucket
Like the lost catacombs of Egypt, only God knows where we stuck it
Hieroglyphics, let me be Pacific: I wanna be down in your South Seas
But I got this notion that the motion of your ocean means ""Small Craft Advisory""
So, if I capsize on your thighs high tide, B-5, you sunk my battleship
Please turn me on, I'm Mister Coffee with an automatic drip
So show me yours, I'll show you mine, ""Tool Time,"" you'll Lovett just like Lyle
And then we'll do it doggy style so we can both watch ""X-Files""

[Chorus]
Do it now
You and me, baby, ain't nothing but mammals
So, let's do it like they do on the Discovery Channel
Do it again now
You and me, baby, ain't nothing but mammals
So, let's do it like they do on the Discovery Channel
Getting horny now

[Horn Interlude]

[Bridge]
You and me, baby, ain't nothing but mammals
So, let's do it like they do on the Discovery Channel
Do it again now
You and me, baby, ain't nothing but mammals
So, let's do it like they do on the Discovery Channel
Do it now
[Chorus]
You and me, baby, ain't nothing but mammals
So, let's do it like they do on the Discovery Channel
Do it again now
You and me, baby, ain't nothing but mammals
So, let's do it like they do on the Discovery Channel
Getting horny now"
Evil Deeds,Eminem,"['hip hop', 'r&b', 'alternative']","[Intro]
Lord, please forgive me for what I do
For I know not what I've done

[Hook]
Father, please forgive me for I know not what I do
I just never had the chance to ever meet you
Therefore I did not know that I would grow to be
My mother's evil seed and do these evil deeds

[Verse 1]
Momma had a baby and its head popped off
Head popped off, head popped off, head popped off, head popped off, head popped off
But Momma don't want me, the next thing I know, I'm gettin' dropped off
Gettin' dropped off, gettin' dropped off, gettin' dropped off, gettin' dropped off
Ring-ring-ring on the doorbell of the next door neighbors, on their front porch
Their front porch, their front porch, their front porch, their front porch
But they didn't want me neither, so they left me on someone else's lawn
Else's lawn, else's lawn, else's lawn
'Til somebody finally took me in, my great aunt and uncle, Edna and Charles
Edna and Charles, Edna and Charles, Edna and Charles, Edna and Charles, they were the ones who were left in charge
My elementary, they'd gang up on me and sing this song
Sing this song, sing this song, sing this song, sing this song
It went a little something like
""Mary had a little lamb, little lamb, little lamb
Debbie had a Satan spawn, Satan spawn""
Momma why do they keep sayin' this? I just don't understand, understand
And by the way, where's my dad?
[Hook]
Father, please forgive me for I know not what I do
I just never had the chance to ever meet you
Therefore I did not know that I would grow to be
My mother's evil seed and do these evil deeds

[Verse 2]
Predominantly, predominantly, everything's always predominantly
Predominantly-white, predominantly black. Well, what about me?
Where does that leave me? Well, I guess that I'm between predominantly both of 'em
I think if I hear that fuckin' word again, I'ma scream
While I'm projectile vomitin'; what do I look like, a comedian to you?
Do you think that I'm kiddin'? What do I look like, some kinda idi...
Wait a minute, shit, don't answer that; why am I so misunderstood?
Why do I go through so much bullshit? It's such bullshit, it's tush mull bish
""Woe is me, there goes poor Marshall again whinin' about his millions
And his mansion and his sorrow he's always drownin' in
And the dad that he never had, and how his childhood was so bad
And how his mom was a dope addict, and his ex-wife, how they go at it
Man, I'd hate to have it as bad as that Mr. Mathers claims he had it
I can't imagine it. That little rich, poor, white bastard
Needs to take some of that cash out of the bank and take a bath in it
Man, if I only had half of it""
Shit, if you only knew the half of it...
Haha
[Hook]
Father, please forgive me for I know not what I do
I just never had the chance to ever meet you
Therefore I did not know that I would grow to be
My mother's evil seed and do these evil deeds

[Verse 3]
Evil deeds, while I plant these evil seeds
Please release me from these demons
I never had any of this shit planned, Mom, please believe
I don't wanna be Satan's spawn
Never got the chance to say I'm sorry
Now look at all the pain I caused
Dear Santa Claus, why are you not comin' this year again?
What did I do that was so bad to deserve this?
Everything could have been so perfect
But life ain't a fairytale. I'm about to be hoisted up in the air
Forty feet below me there's people everywhere
I don't even know but who feel like they know me 'cause I'm in this ferris wheel
And all I wanna do is go to the mall and take Hailie on the carousel
Without this crowd everywhere I go, but life is like a merry-go-round
Here we go now, do-si-do now, curtains up, the show must go now
Ring-around-the-rosie, the show's over, you can all go home now
But the curtain just don't close for me, this ain't how fame was supposed to be
Where's the switch I could just turn off-and-on? This ain't what I chose to be
So please, God, give me the strength to have what it takes to carry on
'Til I pass 50 back the baton, the camera's on, my soul is gone
[Hook]
Father, please forgive me for I know not what I do
I just never had the chance to ever meet you
Therefore I did not know that I would grow to be
My mother's evil seed and do these evil deeds
I said, Father, please forgive me for I know not what I do
I just never had the chance to ever meet you
Therefore I did not know that I would grow to be
My mother's evil seed and do these evil deeds
(Evil deeds, evil deeds, evil deeds)

[Outro]
[Gunshot]
[Crowd cheering]
Oh!
Last one, baby, let's go
Last one, baby, let's go
Detroit!"
STP,Sublime,"['hip hop', 'r&b', 'pop', 'jazz', 'alternative', 'blues', 'rock']","[Chorus]
All that I need
Look at all the love we found
I won't run and pull no one jack move
They love us for the Kingston sound

[Verse 1]
Flava Flav and I.C.E
Once said somethin' that made me
Want to burn my liquor store down to the ground
But I just can't leave the pad
'Cause I'll surely wind up dead
'Cause I know they're out there
Waiting and watching for me
Still, I got my yellow cat
And my wooden baseball bat
And my shiny silver gat
And if my homie got my back
Then I've got

[Chorus]
All that I need
Look at all the love we've found
I won't run and pull a one jack move
They love us for the Kingston sound
[Bridge]
I won't slip and I won't trip
Send Matt Vargas to regrip
While I'm wrenchin' on my ride
In that secret pad where we hide
There's always lots of fun stuff to do
Like relax and design a brand new tattoo
Playin' with my crossword puzzle book
I'm even learnin' how to cook

[Verse 2]
Have you seen that little whore, Betty?
Someone said that she stole my freddie
And if she made off with my last clean rig
I'm going to kill that fuckin' ditch pig
So what?
Outta my, outta my, outta my, outta my secret pad
'Cause I know you're talkin' about me
Makin' it hard to live
'Cause I don't want no money fee, don't want no money down
My secret tweaker pad is now the hottest dope spot in town
I just take it nice and easy
Don't want no sheriff breakin' down the door to raid me

[Chorus]
'Cause all that I need
Look at all the love we've found
I won't run and pull the one jack move
They love her for the Kingston sound
[Outro]
Baby, you wanna give me kisses sweet
Only for a night, with no repeat
Baby, you wanna leave and never call
Oh, but the taste of honey is worse than none at all"
