song,artist,genres,lyrics
Kimber RIP,Sammy Adams,"['hip hop', 'r&b']","Yeah, RIP Kimb

That's alright
That's okay
We take a couple poppers and we get to the gate
We're stuck over heaven every single day
The days we chilled talked shit, got Laid
And hey, ucks when it happens to those who can take it
But your life, Kimb should be celebration
So we gon' embrace it
Till' we see your face kid
Till' then can't wait to see you again
Can't wait to see you again
Can't wait to see you ah

Without love we perish
Like losing another brother we cherish
Not to mention all such parents
Make you wonder what got these fairings hung
We could walk through fairness
Seeing Kimber O.C. marriage
Sipping on some young so careless
Wonder right now what he's wearing
Chillin' up in the stars
Still can't believe he's gone
Kimber you still live on
Through the lyrics of this song
Just know that we love you kid
No, man, no I just stopped the tip
We hating the game up rocket ship
And this is why I spark a bliss
That's alright
That's okay
We take a couple poppers and we get to the gate
We're stuck over heaven every single day
The days we chilled talked shit, got Laid
And hey, ucks when it happens to those who can take it
But your life, Kimb should be celebration
So we gon' embrace it
Till' we see your face kid
Till' then can't wait to see you again
Can't wait to see you again
Can't wait to see you ah
(Instrumental Break)

My Dude, my Bro, my Dog
Never thought I would see you gone
And you know I pray to God you with us when these times are hard
And if I had these calls
Tonight your life be here with ours
But you never had to make a song
Loved your Case, your Dad, your mom
And I look up in the sky
When I get lonely
Or I get high
Put on Kimber
Blast this shit
Till' my fucking tears coincide
And you know I die inside when I hear this shit on rock
Just let it rock, yeah
Just let it rock, yeah
That's alright
That's okay
We take a couple poppers and we get to the gate
We're stuck over heaven every single day
The days we chilled talked shit, got Laid
And hey sucks when it happens to those who can take it
But your life Kimb should be celebration
So we gon embrace it
Till' we see your face kid
Till' then can't wait to see you again
Can't wait to see you again
Can't wait to see you ah"
Shes Leaving Home,Outasight,"['hip hop', 'r&b']","[Verse 1: Outasight]
Wednesday morning ‘round five o’ clock
The day begins, it never stops
We wake up to a little light peaking on through
Downstairs to the kitchen we go
Eat breakfast, sip a cup of Joe
On the counter there, I left you a rose
Next to a note for the airport
Quickly eat and puff a smoke
The TV blares and the stove is broke
No need to talk or crack a joke
I packed your bags and we hit the road
Start the car and end the day
Knew this was coming ‘round the end of May
But it’s easier said than done
Made our bed and we had our fun but…

[Hook]
She’s leaving-leaving home
Home-home-home-home
She’s leaving-leaving home
Home-home, she’s leaving home
[Verse 2: Outasight]
Paris, France, Spain and Milan
Rides in Venice, staring at the stars
Polaroid flicks and postcards in script
Written to her family that she will dearly miss
And the radio at night would play her favorite song
Can’t hardly wait, Westerberg has his charm
Two weeks alone and one week in Prague
Days turn to month and that’s she want

[Hook]

[Verse 3: Outasight]
They say home is where the heart is
But what happens when you departing?
Excuse me miss but please you’ll have to pardon
My behavior but I’m just getting started
And I can say this with confidence
Or use my common sense to state the obvious
Beyond the compliments, we are the opposites
Attracted to each other, magnets for a mess
Wishing all the best but only getting stressed
Staying for the sex and fighting bout the checks
Issues addressed including your address
You leaving home on a flight direct
That I can’t intersect but if I can interject
It’s not too late and I would just say
That how we came together is a measure of fate
But I guess it can wait as we pull up to the gate
[Hook]"
Losing My Mind,Outasight,"['alternative', 'hip hop', 'r&b']","[Hook]
Breaker-breaker one nine, can you hear me?
Over and out, going clearly
Clearly I'm losing my mind
Losing my mind, losing my mind
Breaker-breaker one nine, can you hear me?
Over and out, going clearly
Clearly I'm losing my mind
Losing my mind, losing my mind

[Verse 1: Outasight]
What up to my audience?
Been holding on line, not folding like accordions
We going back to the future like riding in Deloreans
Not Crown Victorians, life starts and the story ends
Skies gray like Dorian till voices started joining ‘em
Now it ain’t in vain so let the award tour begin
And New York is here since I started going in
Got the juice Tampico, Puerto Rican girls used to go and call me Rico
This music shit to me is like Lou Reed to Nico
I feel like Razor Ramon, what up chico?
Throwing toothpicks at the amateurs, the said characters
Who tried to get the picture but couldn't get the aperture
The shutter speed or the right light, now you in the dark like a night light
Fuck being like Mike, be like Outasight
And grow a set and here come the hook ‘cause this shit ain’t over yet
Here come the hook ’cause this shit ain’t over yet
[Hook]

[Verse 2: Outasight]
Another bar getting thrown out, speaking man to man
I just wanna chill and zone out
If you don't know jack, homie, don’t pull your phone out
And I can drop dimes but I ain’t got much to loan out
Every weekend getting blown out
15 years old with a North Face and a blow out
19 selling 20’s trying to pull the dough out
25 and signed, now the light don't go out, Outasight ain’t out of light
But he's sure out his mind but he ain’t out of time
Grooving, chilling, rooting for the villain, Downtown dwelling
Boy, his ego swelling like he got knocked in his head
Downing Johnny Walker red, every one of our parents said stay in school
Some of us did, some of us didn't, some of us cared
Some of us living, some of us dead, some of us broke, some of us rich
None of us should ever live in the fear of speaking clear
So grow a set and here come the hook ‘cause this shit ain’t over yet
Yo, here come the hook, I ain't kidding man

[Hook]"
By Your Side,Jadakiss,"['hip hop', 'r&b']","[Intro: Jadakiss & Barbara Lewis]
I'll be by your side, I'll always find a way
General, we got these niggas
Fucking cockroaches, you wanna go to war? HA-HAAAEEH!
I love you too much to lose your sweet touch and your love
I'd find you

[Verse 1]
(By your side)
It makes me strong
It gives me the strength to bang out and make these songs
If I do it on the spot or if it takes me long
They can't stop me, even if my brakes was on
I'm still (by your side)
I'm always here, nobody’s perfect, life ain't always fair
I used to not give a fuck, I ain't always care
When it’s too hot for the hammer
You know the hawk is right (by your side)
Until you get to the car
And you gotta get through the D before you get to the R
If I don't get you today then I'ma get you tomorrow
As soon as you come out your crib I'ma be right (by your side)
Where I’m supposed to be
Close to you, with the toast close to me
And screw it if it’s the right or the wrong thing
When you in the sight of that long thing
You wish you had a strong team (by your side)
[Refrain: sample]
I love you too much to lose your sweet touch and your love
I'd find you
By your side, by your side
I love you too much to lose your sweet touch and your love
I'd find you

[Verse 2]
As long as you need me
I'm down for whatever homie as long as you feed me
I pull the big joints out as long as the TV
Or I can play my part and just breathe easy, right (by your side)
As soon as something happen to you
Your niggas are bouncin' and you thought they were scrappin' witcha you
Now you cleanin' your cuts with peroxide
And you wake up in the ER with the Doc, right (by your side)
Puttin tubes in you
And you can’t even eat right, they puttin’ food in you
Your body’s getting colder, Devil on your shoulder
And your moms is in the room but you just wanna hold her (by your side)
Nothin but realness
That's why everybody in the world could feel this
I'm on top and y'all under me
So when it's over; if I ain't in the front
At least I'm gonna be (by your side)
[Refrain: sample]
I love you too much to lose your sweet touch and your love
I'd find you
By your side, by your side
I love you too much to lose your sweet touch and your love
I'd find you

[Verse 3]
Until they finish me off
If they don't get us both you'll be sending me off
And please just do me this favor: stick to our little plan
And fuck the money, just keep my little man (by your side)
And show 'em there's hope
And he gon' think he know how it's going
But show him the ropes
And if you bring him to the Gucci store, show him the loafs
Hood niggas I'm just showing you growth
But I'm still right (by your side)
You know Kiss
Don't gotta aim his gun at you to be focused
And if you broke now nigga when you see those chips
Watch how many people come out of nowhere
And try to be (by your side)
The answer's plenty
'Cause when you, handling business you can't be friendly
And if you, tryin to stack something can't be pennies
Most likely Grants and Benjies
And you better keep 'em (by your side)
[Refrain: sample]
I love you too much to lose your sweet touch and your love
I'd find you
By your side, by your side
I love you too much to lose your sweet touch and your love
I'd find you
By your side
By your side
By your side
By your side"
Faded,Red Cafe,"['hip hop', 'r&b']","[Chorus: Red Cafe]
I got a feeling
A real good feeling
I’ma be faded
The bar is open
We just bought it
I’ma be faded
Let the champagne pouuuur, ouuuur, ouuuur
Let the champagne pouuuur, ouuuur, ouuuur
Let the champagne

[Verse 1: Red Cafe]
Damn I look good, somebody take a photo
I run my his-house, you can ask Jojo
Yank fitted on, my money on Jeter
My girls all dimes, Louie Vuitton divas
I’m fly like an overnight letter
Shorty, sleep with me
Make your overnights wetter
Better I’m faded (I’m faded)
And tonight I’m gonna get wasted
See to everybody listening, if it’s on I’ma get at ‘em
I can say whatever I’m a tax paying citizen
Middle finger up, I ain't got a conscience
I just go hard like the trio from Yonkers
Head honcho, Kush in the console
Bad boy, now they shook like Cosmo’s
I’m all that, everyday all black
Got Ciroc on deck so I’m faded off that
[Chorus: Red Cafe]
I got a feeling
A real good feeling
I’ma be faded
The bar is open
We just bought it
I’ma be faded
Let the champagne pouuuur, ouuuur, ouuuur
Let the champagne pouuuur, ouuuur, ouuuur
Let the champagne

[Verse 2: Rick Ross]
Two homes on the block, each one a mil'
And this ring on my finger is an E-1 deal
Canary yellow stone, can’t be faded
Fatigue belt, .45 made for the Navy
Young niggas ready to grapple down ya building
I’m living chilling, arms wrapped around a Brazilian
In the presence of a Don, be cautious but calm
Can’t be faded, two pills a charm
She licks on my chest, reading tats on my arm
Hit her form the back, same time my mind blown
Speechless so she scream in silence
A real bad boy and all my speeches violent

[Chorus: Red Cafe]
I got a feeling
A real good feeling
I’ma be faded
The bar is open
We just bought it
I’ma be faded
Let the champagne pouuuur, ouuuur, ouuuur
Let the champagne pouuuur, ouuuur, ouuuur
Let the champagne
[Verse 3: Red Cafe]
Pour for them white girls, that like girls
We just buy all these bottles cause it excite girls
Yeah shorty go on kill a runway
I knew you would have been a supermodel one day (what else?)
I’m mashing out lighting up on a highway
Shit, I’m supposed to be high, it’s the highway
Anybody wanna eat? Come saddle up
My team getting money, everybody tatted up
Marqee status, flights no baggage
Dope dicks make these hoes Cafe addicts (what else?)
Huh, and I am the most hated
Bottles to the face, shake it up then spray it

[Chorus: Red Cafe]
I got a feeling
A real good feeling
I’ma be faded
The bar is open
We just bought it
I’ma be faded
Let the champagne pouuuur, ouuuur, ouuuur
Let the champagne pouuuur, ouuuur, ouuuur
Let the champagne"
Milk the Cow,Cappadonna,"['hip hop', 'r&b']","[Verse 1: Cappadonna]
Let us milk this cow, the best way we know how
Park Hill projects, chicka-POW
One culture, return of the track slasher
Double doser, Cappadonna broadcaster
Strivin for perfection, the only way I got
My life back was through investin, devotion
Movin my soul toward the skit, vocabulary
Comin out my ass like shit, to feed my babies
I gotta fight y'all MC's, this money
Be gettin me high just like cheese in these tracks
I milk for all my childhood, make me feel good
So I keep on writin meditatin in the ghetto
Makin love waitin for lost minds to settle
Then I speak out, because we all need the guidance
Deep down inside us where you could define science
My mother told me, when I was so stressed out
""All you gotta do is just put your best out""
And I did it, milky
Milk this cow (2X)
Milk this cow, the best way we know how
Park Hill projects, chicka-POW!
[Chorus: Method Man]
Hold your own nigga, Razor Sharp with the art
Don't gettin blown nigga, throwin darts at the charts
Danger Zone nigga, Cappadonna
You know the stee' potnah, Wu-Tang death before dishonor - what?

[Verse 2: Cappadonna]
Yo, new Cappadonna is about to exhale kid
Hold all the phone calls, stop all the mail
Cappadonna raise hell, speak and I broke the shells
Seen brothers that fell when I slipped
I had my alibi tight that night, up in the Hill chillin
Y'all'll get shot, move away things are too hot
Look at my spot now, friends are exiled from close distance
I flow persistence, every time I step up, I rip reps up
Ku Klux, my words swing around like numchucks
This ain't for big bucks, never can quit this rap shit
It feeds my seeds, I can barely breathe
But y'all cats better believe keep off, the darts are soft
While I throw these missiles, at your skin tissue
You can't escape I absorb, gigantic crowds all aboard
Watch out for shitty fraud, my darts slam like doors
Makin it hard for you to get yours, selfish

[Interlude: Cappadonna] (x2)
Milk this cow, the best way we know how
Park Hill projects, chicka-POW!
[Chorus]

[Interlude]

[Chorus]

[Outro: Method Man]
Bad birds that fuck nerds! *inhaling*
Hah! *inhaling*
Suck a dick up til ya hiccup motherfuckers!
The swarm continues, Wu-Tang Killer Beez
Cappadonna Cappucino, the Donna-mite
Came to treat your earpiece right
Y'all better recognize and realize
Hot Nixon, playin my position, bitch!

*gunfight*"
Good to You,Talib Kweli,"['hip hop', 'r&b']","[Kweli] + (Al Green)
Yea (yeaaah)
Come on
Uhh
Yeah
Kweli

[Bridge]
Yo Yo
Ayo my silent moments, loud as the crack of thunder
My hunger is like the crocodile that attacks the hunter
It ain't commercial or underground, its true cause I
(wanna be good to you)

[Hook]
Call it skill, call it game, call it glow, call my name
Like the lord, all in vain, screaming like you all in pain
Treat it like a drug, all up in ya vein cause (wanna be good to you)

[Verse 1]
We make the squares dance, and get the do like dosey
Y'all niggas roll with pussycats like Josie
All spoiled rotten like ghetto groceries yo
I clutch the mic like ya grandma clutch her rosary yo
Swooping the industry, like a bird to prey
My stanzas has got stamina, ya verses lack vertebrae
I heard them say I was a conscious rapper
But I'm a monster when I hafta smack the shit out of a nonsense actor
Using my 'hands solo' and I don't need Chewy
Over your head like Yarmulkes and Kufis yo
I write screen gems y'all niggas act in B movies
Type of niggas proud to be groupies
Followers in the herd running over the cliff
I'm the ""Buffalo Soldier"", smoke ya like a dreadlock rasta
Blowing the spliff, loading a clip to spit high
Like you holding blow in a stolen whip, rolling the strip
Looking to hit cops, now that's a 4 alarm
Black queen falling on my arms, you could call it charm
Matter fact call it what you want, it's up to you bro
(wanna be good to you)
Yea
Yea
Yea
Chorus (1x)

[Verse 2]
How many niggas ever been in love'
How many niggas really think they thugs
And can't think without the drink and drugs
How many niggas can't get in with hats and sneakers on
Say 'fuck security' and get inside and keep them on
How many niggas think that gats make the weaker strong
Can't do for self and wanna snatch the plate you eating on
That don't take heart, slave nigga play ya part
I'd rather jump over board nigga, face the sharks
We stay doing it, later for the conversation
Hammers is cocked and waiting, niggas is not debating
We ain't got the patience. You found popping shit
Come in to town just to run you down like poppa ditch
And dig a proper ditch, you lying like a politician
Your proposition meets opposition like contradictions
Get out my House, you ain't no real Representative
I make it happen, you ain't official, you tentative
Niggas is sensitive, see how they catching feelings
It's so hot, the sweat rise and it wet the ceiling
Barracuda, Spitkicker nigga that's the crew (wanna be good to you)

[Hook]
[Breakdown]
Whoo! (yeaahh)
Come on
Yeah
Well alright
Yo
Yo
Yo

[Verse 3]
Niggas be claiming shit, find a gangsta movie, put
They name in it, biting like there ain't no shame in it
You the hardest on the beat, I'm the fire that you playing with
You a artist from the street, I'll give you the blood to paint it with
So yeah I'm positive, I'm positive I'm the best
Spit bullets to split ya vest and deposit them in ya chest
Dark is the flesh on my bones, calling Brooklyn home
Hang up on niggas like 'I want you to meet my nigga tone, word
Leave me alone like Michael Jackson
Or there will be more than butterflies in your stomach
Waiting to see what happens
You see me out, know that my crew is flawless
So called gangstas need more security than the Rawkus office
Yo, I thought you bust ya gun
You just a big joke, thinking you a Big Pun
Yo, Kanye this is the big one (wanna be good to you)
Me and my niggas having big fun
Bridge (1x)

Chorus (1x)

Come on
BK and
BX and
Q boro and
Manhattan and
Harlem niggas and
Long Island
Wanna be good to you you you come on! (wanna be good to you)
The whole world rocking
Yo the whole world rocking
Ayo uhh"
Ice Ice Baby,Vanilla Ice,"['hip hop', 'r&b']","[Intro]
Yo VIP, let's kick it

[Chorus]
Ice, ice, baby
Ice, ice, baby

[Verse 1]
Alright stop, collaborate and listen
Ice is back with the brand new invention
Something grabs a hold of me tightly
Flow like a harpoon daily and nightly
""Will it ever stop?"" Yo, I don't know
Turn off the lights, huh, and I'll glow
To the extreme, I rock a mic like a vandal
Light up a stage and wax a chump like a candle
Dance, rush the speaker that booms
I'm killing your brain like a poisonous mushroom
Deadly when I play a dope melody
Anything less than the best is a felony
Love it or leave it, you better gangway
You better hit the bullseye, the kid don't play
And if there was a problem, yo, I'll solve it
Check out the hook while my DJ revolves it
[Chorus]
Ice, ice, baby
Vanilla Ice, ice, baby
Vanilla Ice, ice, baby
Vanilla Ice, ice, baby

[Verse 2]
Now that the party is jumpin'
With the bass kicked in and the Vegas are pumpin'
Quick to the point, to the point, no fakin'
Cookin' MCs like a pound of bacon
Burnin' 'em if you're not quick and nimble
I go crazy when I hear a cymbal
And a hi-hat with a souped up tempo
I'm on a roll, it's time to go solo
Rollin' in my 5.0
With the ragtop down so my hair can blow
The girlies on standby, wavin' just to say hi
“Did you stop?” No, I just drove by
Kept on, pursuin' to the next stop
I busted a left and I'm headin' to the next stop
The block was dead, yo, so I continued to
A1A Beachfront Avenue
Girls were hot wearing less than bikinis
Rockman lovers driving Lamborghinis
Jealous, 'cause I'm out getting mine
Shay with a gauge and Vanilla with a 9
Ready for the chumps on the wall
The chumps acting ill because they're full of eight ball
Gunshots raged out like a bell
I grabbed my 9, all I heard were shells
Falling on the concrete real fast
Jumped in my car, slammed on the gas
Bumper to bumper, the avenue's packed
I'm trying to get away before the jackers jack
Police on the scene, you know what I mean?
They passed me up, confronted all the dope fiends
If there was a problem, yo, I'll solve it
Check out the hook while my DJ revolves it
[Chorus]
Ice, ice, baby
Vanilla Ice, ice, baby
Vanilla Ice, ice, baby
Ice, ice, baby

[Verse 3]
Take heed 'cause I'm a lyrical poet
Miami's on the scene just in case you didn't know it
My town that created all the bass sound
Enough to shake and kick holes in the ground
'Cause my style's like a chemical spill
Feasible rhymes that you can vision and feel
Conducted and formed, this is a hell of a concept
We make it hype and you want to step
With this.  Shay plays on the fade
Slice like a ninja, cut like a razor blade
So fast, other DJs say, “Damn!”
If rhyme was a drug I'd sell it by the gram
Keep my composure when it's time to get loose
Magnetized by the mic while I kick my juice
If there was a problem yo I'll solve it
Check out the hook while my DJ revolves it

[Chorus]
Ice ice, baby
Vanilla Ice, ice, baby
Vanilla Ice, ice, baby
Ice ice, baby
Vanilla Ice
[Outro]
Yo man, let's get out of here
Word to your mother
Ice, ice, baby (Too cold)
Ice, ice, baby (Too cold)
Ice, ice, baby (Too cold)
Ice, ice, baby (Too cold, too cold)
Ice, ice, baby (Too cold, too cold)
Ice, ice, baby (Too cold, too cold)
Ice"
Im So Special,French Montana,"['hip hop', 'r&b']","[Hook]
We did it again, once again
I'm so special, ooooh
You know we love you, love you, love you, long time (Montana!)
You know we love you, love you, love you, long time

[Verse]
Big .44, no safety
You'll collapse like JoJo, K-Ci
And my ice like lights from AC
Homie I'm hot like a drop, no AC
They wanna freestyle, I'm tryna stay free
And my coupe all blue like Grape Street
From eight blocks, I take shots, HD
I'll blast, you'll dash like Stacey
But look akh, I can't stop, I'm waist-deep
Fuck crossing over, I'mma stay street
Nigga I'm good, I'm what the hood made me
I got guns, 7 inches to 8 feet
You ain't Pac, you ain't Fif', you ain't Jay-Z
You ain't Yay', you ain't French, you ain't wavy
For my Coke Boys, shoot a nigga face off
In the bookings, they made me take my lace off
And my belt, and the voucher for my cake, boss
You know I'm on top of beef like steak sauce
A1, since day one, I caked off
Still slang that 'caine and that haze dog
It's a new religion, my jeans True Religion
Homie scramble with notes, I'm New Edition
Got that Hefty, garbage bread
I'm in the backseat gettin' that Harvard head
Swaggalicious, with a bag of bitches
This food for thought, and they got the dishes
Nigga don't clean the pots, that coke residue
This that crack cocaine for you to listen to
[Hook]"
Peter Piper,Run,"['hip hop', 'r&b']","[Verse 1: Run, D.M.C. & Run-D.M.C.]
Now Peter Piper picked peppers, but Run rocked rhymes
Humpty Dumpty fell down, that's his hard time
Jack B. Nimble was nimble and he was quick
But Jam Master cut faster, Jack's on Jay's dick
Now Little Bo Peep cold lost her sheep
And Rip Van Winkle fell the hell asleep
And Alice chilling somewhere in Wonderland
Jack's serving Jill a bucket in his hand
And Jam Master Jay's making all that sound
The turntables might wobble, but they don't fall down

[Verse 2: Run, D.M.C. & Run-D.M.C.]
Now Dr. Seuss and Mother Goose both did their thing
But Jam Master's getting loose and D.M.C.'s the king
'Cause he's adult entertainer, child educator
Jam Master Jay king of the crossfader
He's the better of the best, best believe he's the baddest
Perfect timing when I'm climbing, I'm a rhyming apparatus
Lot of guts, when he cuts, girls move their butts
His name is Jay, hear the play, he must be nuts
And on the mix real quick and I'd like to say
He's not Flash, but he's fast and his name is Jay
[Break: Run]
It, it goes a one, two, three, and

[Verse 3: D.M.C. & Run-D.M.C.]
Jay's like King Midas as I was told
Everything that he touch turn to gold
He's the greatest of the greater, get it straight, he's great
Playing fame 'cause his name is known in every state
His name is Jay, to see him play, will make you say
""God damn that DJ made my day""
Like the butcher, the baker, the candlestick maker
He's a maker, a breaker, and a title taker
Like the little old lady who lived in a shoe
If cuts were kids he would be due
Not lying y'all, he's the best I know
And if I lie my nose will grow
Like a little wooden boy named Pinocchio
And you all know how the story go

[Chorus: Run & Run-D.M.C.]
Tricks are for kids, he plays much gigs
He's a big bad wolf and you're the three pigs
He's a big bad wolf in your neighborhood
Not bad meaning bad, but bad meaning good

[Break: Run-D.M.C.]
There it is
[Verse 4: Run-D.M.C., Run & D.M.C.]
We're Run-D.M.C., got a beef to settle
D's not Hansel, he's not Gretel
Jay's a winner, not a beginner
His pocket gets fat, others get thinner
J-j-j-j-j, jump on Jay like cow jumps moon
People chase Jay like dish and spoon
And like all fairy tales end
You'll see Jay again my friend, huh"
