song,artist,genres,lyrics
We Fly High Remix,Jim Jones,"['hip hop', 'r&b']","[Produced by Zukhan]

[Intro: Jim Jones]
I wear a mean dark pair of shades
(You know we can't have one of nuthin')
And you can't see my eyes (so we had to double up)
Unless my head is bent, you dig
Dipset (Remix)

[Hook: Jim Jones]
We fly high, no lie, you know this (Ballin')
Foreign rides, outside, it's like showbiz (Ladies)
We stay fly, no lie, and you know this (Remix)
Hips and thighs, oh my, stay focused

[Verse 1: Jim Jones]
(Jones) He/She, blowticious (Birdcall!)
Lamborghini, is audicious (Flossin!)
From Harlem to Hollywood, I'm still hood (yup!)
500 horses stuffed in my Ferrari hood (Speedin!)
Fuck-niggas talk about MC's on da hills
Hip-Hop is dead, so Killa gave me the wheel (Flea!)
Black cards fever get these niggas feelin' ill (Ill!)
It's hot fo' now, niggas givin' out deals (Ballin!)
(It's all about the Benjamin's baby)
I'm flyin' up Lenox in the Bentley, all crazy (Check!)
The roof topless, I'm showin' my ass (Uh-huh!)
I brought New York back, you niggas ain't got a chance (Remix!)
[Hook: Jim Jones]

[Verse 2: T.I.]
I ain't gon' lie, I'm fucked up, Phil died and we all sad
Only thing get us by now, and that's to ball, dad
5 mil on the crib, 50 on the dogtag
Cracks in the deal, that's 20 mil, I done gone mad
Naw I had to gon' grab the Spyda at the red light
Blue fluorescent headlight, ya betta get ya bread right
You ain't a balla, you chase checks, I check right
Even when it's dark outside, I bet my neck bright

[Verse 3: Diddy]
Ayo hold up, pick a restaurant, Chows or Chin Chin
Now pick a car, which one I ain't been in?
Pick a watch, as long as the hand spinnin'
Pick a actress, which one I ain't swim in
(What about the bride?) The yacht's still on deck
Retirement plan, I dropped it on her neck
I'm still spendin' ol' money
Benjamin's Remix, 10 year ago money muthafuckas

[Hook: Jim Jones]

[Verse 4: Juelz Santana]
Now girl I don't mean to be an agitator
But when I get movin' I'm a smooth operator
Ay, money ain't a thing, that's why I spend it
Ya cars like ya home, everthing rented
I'll buy your building, you'll be my tenant
My money comes fast just like a leopard
I'm about my green, no it ain't tennis
Play wit' my green, I'll become ya dentist
I'll swing that tool around
Then begin the root canal, Blaow
(Dipset) Boy you don't wanna start it here
Only time y'all dudes ball is in a barber's chair
Baldheads, I'm taking rock and roll to another level
Iced-out skull heads
[Verse 5: Birdman]
500 on the Bentley, 50 G's on the caddy
100 G's on my ho, cuz we both livin' lavished
Doin' my thang with this uptown swang
Niggas get it how we live like money ain't a thang (Ballin!)
Stuntin' on dem thangs, every time you see my swagger
Every time you see me hang, best believe I got that thang
Pop up at da club, niggas show them hoes love
Cuz they know we make it rain, so they show a gangsta love

[Verse 6: Young Dro]
Look like I'm skatin' on ice like Kristi Yamaguchi
Sittin' up in the Chevy eatin' BlowFish Sushi
550 mint-colored Benz, me and Jim
Wit' the Band Camp Twins and they blowin' our fluties
Hell Rell block, so you know we gettin' kufis
Iceberg drop nigga now I'm ridin' goofy
28 inches in the air, know I'm ballin'
Cuz my whole wrist pink and my neck kinda bluey, Dro

[Hook: Jim Jones]

[Outro: Jim Jones]
You've just been included in the Ballaz Extravaganza
You are now a Ballaholic, just like my team (Dipset)
Shout-outs to Diddy, T.I., Birdman, Dro (Whoa)
It's like showbiz
Ballin'"
The 6th Sense,Common,"['hip hop', 'r&b']","[Intro: Common]
The revolution will not be televised
The revolution is here
Yeah, it's Common Sense, with DJ Premier
We gonna help y'all see clear
It's real hip-hop music, from the soul, y'all
Yeah, check it, yo

[Verse 1: Common]
The perseverance of a rebel I drop heavier levels
It's unseen or heard, a king with words
Can't knock the hustle, but I've seen street dreams deferred
Dark spots in my mind where the scene occurred
Some say I'm too deep, I'm in too deep to sleep
Through me, Muhammad will forever speak
Greet brothers with handshakes on ghetto landscapes
Where a man is determined by how much a man make
Cop Cognacs and spit old raps with young cats
With cigarettes in their ear, niggerish they appear
Under the Fubu is a guru, that's untapped
Want to be in the rap race but ain't ran one lap
Ran so far from the streets that you can't come back
You tripping with nowhere to unpack, forgot that
[Chorus: Bilal & Prodigy]
""This is rap for real, something you feel""
And you know, yes you know
""This is rap for the black people""
Heeeeyyyy, heeeeeyyyy
""This is rap- This is rap for real""
And you know, yes you know
""This is rap for the black people""

[Verse 2]
In front of two-inch glass and Arabs I order fries
Inspiration when I write, I see my daughter's eyes
I'm the truth, across the table from corporate lies
Immortalized by the realness I bring to it
If revolution had a movie I'd be theme music
My music, you either fight, fuck, or dream to it
My life is one big rhyme, I try to scheme through it
Through my shell, never knew what the divine would bring to it
I'd be lying if I said I didn't want millions
More than money saved, I wanna save children
Dealing with alcoholism and afrocentricity
A complex man drawn off of simplicity
Reality is frisking me
This industry will make you lose intensity
The Common Sense in me remembers the basement
I'm Morpheus in this hip-hop Matrix, exposing fake shit
[Chorus: Bilal & Prodigy]
And you know, yes you know
""This is rap for real, something you feel""
And you know, yes you know
""This is rap for the black people""
Heeeeyyyy, heeeeeyyyy
""This is rap- This is rap for real""
And you know, yes you know
""This is rap for the black people""

[Verse 3]
Some days I take the L to gel with the real world
Got on at 87th, sat by this little girl
She recited raps, I forgot where they was from
In 'em, she was saying how she make brothers cum
I start thinking, how many souls hip-hop has affected
How many dead folks this art resurrected
How many nations this culture connected
Who am I to judge one's perspective?
Though some of that shit y'all bop to it, I ain't relating
If I don't like it, I don't like it, that don't mean that I'm hating
I just want to innovate and stimulate minds
Travel the world and penetrate the times
Escape through rhythms in search of peace and wisdom
Raps are smoke signals letting the streets know I'm with 'em
For now I appreciate this moment in time
Ball players and actors be knowing my rhymes, it's like
[Chorus & Outro: Bilal & Prodigy]
And you know, yes you know
""Thi- This is rap for real, something you feel""
And you know, yes you know
""Thi- This is rap for real, something you feel""
Heeeeyyyy, heeeeeyyyy
""This is rap- This is rap for real""
And you know, yes you know
""This is rap for the black people""
And you know, yes you know
""This is rap"" ""Co- Co- Com' sense""
And you know, yes you know
""Thi- This is rap for real, something you feel""
Heeeeyyyy, heeeeeyyyy
""This is rap- This is rap for real""
And you know, yes you know
""This is rap for real, something you feel""
You knooow, and you knoooooow
Yeah, ooohowoooo
Yeaahhh

[Skit: Common & Female Fan]
Oh, excuse me, Common?
Yeah, yeah?
Oh my goodness. Um, I'm sorry- I'm sorry to bother you. I just wanted- you know, if I could get your autograph. And I just wanted to tell you- I just wanted to thank you because your lyrics are so positive for the women out here—
Yeah, I appreciate that, I appreciate that, sister. You know, it's like I think we gotta portray women in a better light. You know how- you know most rappers is talking all this other stuff, making women look bad. You know, I was raised by my mother. You know, I got a daughter, so it's like-
Wait, 'scuse me- hold on- hold on- 'scuse me, one second, sister- 'scuse me, one second, sister—
Bitch! Bitch, didn't I tell you to get out there! I don't give a fuck if there's police out there; I don't give a fuck if it's snowin'. I want you out there hoein'. This a business; you ain't gone too far to see that yet. You know what I'm talking 'bout. Get yo' ass out there on them streets! Get on goin', get my paper
Sorry about that, sister. Sorry for—
Oh my goodness! How you gonna disretrospect me like that—"
School Daze,J. Cole,"['hip hop', 'r&b']","[Intro]
Yeah...
Take y'all back... to them school days, yeah
Fayettenam, what up, man?

[Verse 1]
We came a long way from stick and move
Niggas skipping school, just to scrap over bullshit
Nigga if you lose, it's a wrap, them hoes clowning
It goes down in the lunch room
I'm tryna spit this game nigga, fuck food
Bust moves to the hallway
My niggas posted on the wall, always
Ain't thinking about class, dog, my ass tryna parle
If we had this shit our way
We be standing here all day
But look the principal's coming, give pounds then we all escape
All late to class with fake passes
Living life in the fast lane, but ain't passing
They dreaming, tryna be the next Jay-Z and Dame Dashes
I ain't even open my book and it's time to change classes
Walk straight past my ex and don't speak
It's all good, I'll probably have a new ex by next week
I just think, the shit we did was silly, yo, I know that
But what I wouldn't give to go back
[Chorus]
Yeah, back in the days when I was young, I'm not a kid anymore
But some days I sit and wish I was a kid again
Yeah, I sit and wish I was a kid again
Yeah, I sit and wish

[Verse 2]
Yo
I walk another nigga girl to her class with my hand on her ass
If he say 'what up' later, I just laugh
Real sneaky, yo, gotta keep it low up in math
Let my nigga read this real freaky note Kiki wrote, yeah
Hooping up in P.E. you can't see me on this gym flo' (No)
But damn Vanessa booty looking sick up in them gym shorts
Uh, we bag 'em up, y'all niggas gonna have to wait
So they passing hate like, 'Damn I can't wait 'til they graduate.'
But some of my niggas will probably never make it
The S.A.T. shit man I doubt they ever take it, 'cause
Instead of tryna send a nigga to a tutor
Them guidance counselors tryna introduce us to recruiters, it's a set-up
Momma cut the light on, time to get up
Make sure the shirt matching the forces then I head out
At the time I thought this shit was so whack
But what I wouldn't give to go back
Yeah, hey
[Chorus]
Yeah, back in the days when I was young, I'm not a kid anymore
But some days I sit and wish I was a kid again
Yeah, I sit and wish I was a kid again
Yeah, I sit and wish

[Verse 3]
I'm a little grown, but still reminisce
Close your eyes nigga, you remember this?
Friday night football game, something I'll forever miss
After parties in the gym, grinding underneath the rim
You forgot your school I.D? Fuck, nigga, you ain't gettin' in
In the hallways acting like some hoodlums
See that scrap? Naw, damn I always miss the good ones
Them rumors spreading fast with that he say she say
Twenty people on the phone 'cause everybody did three-way
Man we played them girls for the fools, but
Wasn't no ladies like them ladies from other schools
'Cause seeing them same old chicks got tired quick
She was just fucking my boy, now she all on my dick, gossip, damn
Another chick pregnant, another nigga gone
I reminisce on all the chicks a nigga never bone
Pardon me y'all I'm just flipping through some Kodaks
Sitting, wishing I could go back

[Chorus]
Yeah, back in the days when I was young, I'm not a kid anymore
But some days I sit and wish I was a kid again
Yeah, I sit and wish I was a kid again
Yeah, I sit and wish
[Outro]
Yeah, this shit is dedicated to all my niggas man
R.J., Mike Shaw, Jim Brown, yeah
B. Nasty, Big Joe, Smitty, what's good? Yeah
Terry Sanford High School, E. Smith
Class of 2003, that's me
I know y'all remember this"
We All Try,Frank Ocean,"['r&b', 'jazz', 'hip hop', 'blues']","[Verse 1]
I believe Jehovah Jireh
I believe there's heaven, I believe in war
I believe a woman's temple
Gives her the right to choose, but baby, don't abort
I believe that marriage isn't
Between a man and woman, but between love and love
And I believe you when you say that you've lost all faith
But you must believe in something, something, something
You gotta believe in something, something, something

[Chorus]
I still believe in man
A wise one asked me why
'Cause I just don't believe we're wicked
I know that we sin, but I do believe we try
We all try, the girls try, the boys try
Women try, men try
You and I try, try
We all try
[Verse 2]
I don't believe in time travel
I don't believe our nation's flag is on the moon
I don't believe our lives are simple
And I don't believe they're short, this is interlude
I don't believe my hands are cleanly
Can't believe that you would let me touch your heart
She didn't believe me when I said that I lost my faith
You must believe in something, something, something
You gotta believe in something, something, something, oh, oh

[Chorus]
I still believe in man (Oh, oh)
A wise one asked me why (Oh, oh)
'Cause I just don't believe we're wicked (Wicked)
I know that we sin, but I do believe we try (Try, try)
We all try, the girls try, the boys try
Women try, men try (Every girl tries)
You and I try (Every boy tries), try
We all try

[Outro]
Try to believe
Try (Just try)
Try to believe, try to believe
Try (Just try)
Try to believe, try to believe
Try (Just try)
Try to believe
Oh, I, I do believe, I do believe"
Swim Good,Frank Ocean,"['pop', 'r&b', 'hip hop', 'jazz', 'blues']","[Verse 1]
That's a pretty big trunk on my Lincoln Town Car, ain't it?
Big enough to take these broken hearts and put 'em in it
Now I'm drivin' 'round on the boulevard, trunk bleedin'
And every time the cops pull me over, they don't ever see them
They never see them

[Pre-Chorus]
And I've got this black suit on
Roamin' around like I'm ready for a funeral
Five more miles 'til the road runs out

[Chorus]
I'm about to drive in the ocean
I'ma try to swim from somethin' bigger than me
Kick off my shoes
And swim good, and swim good
Take off this suit
And swim good, and swim good, good

[Verse 2]
Got some pretty good beats on this 808s CD, yeah
Memory seats I'm sittin' on stay heated (Yeah)
I woulda put tints on my windows, but what's the difference?
If I feel like a Ghost, no Swayze
Ever since I lost my baby
[Pre-Chorus]
I've had this black suit on
Roamin' around like I'm ready for a funeral
One more mile 'til the road runs out, out

[Chorus]
I'm about to drive in the ocean
I'ma try to swim from somethin' bigger than me
Kick off my shoes
And swim good, and swim good
Take off this suit
And swim good, and swim good, good

[Bridge]
I'm goin' off (Oh, my pretty love)
Don't try stopping me
I'm goin' off (Throw me a line)
Don't try saving (You broke my heart)
No flares (You broke my heart)
No vest (You drove my love)
And no fear
Waves are washin' me out

[Chorus]
I'm about to drive in the ocean
I'ma try to swim from somethin' bigger than me
Kick off my shoes
And swim good, and swim good
Take off this suit
And swim good, and swim good, good
[Outro]
Don't die"
Lucky Me,JAY-Z,"['hip hop', 'r&b']","[Intro: Jay-Z]
How can you fairly assess something from the outside looking in?
There's gotta be them times you'll be wrong, nahmean?
How can a muh'fucka go round and hate a nigga
He never even met that, he don't even know and shit?
I think this rap shit is all beef

[Verse 1: Jay-Z]
Y'all don't even know every day I'm living with stress
Got up out the streets you think a nigga could rest
Can't even enjoy myself at a party unless
I'm on the dance floor, hot-ass vest
You think I'm freaking these chicks, right?
I try not to brush against they chest
You get a lawsuit for shit like that, I feel trapped
Swear to everything when I leave this earth
It's gon' be on both feet, never knees in the dirt
You could try me fucka but when I squeeze it hurts, fine
We'll lose two lives, yours and mines
Gimme any amount of time don't let Ms. Carter grieve
At the funeral parlor dripping tears on my sleeve
Told the judge didn't budge it was him or me
And I ain't trying to be hard but I'm guilty as charged
Put my mercy on this court and my faith in God
And pray hard none of my nephews wanna be stars, lucky me
[Chorus: Karen Anderson]
You only know what you see
You don't understand what it takes to be me

[Verse 2: Jay-Z]
I hate all girls with ulterior motives
That's why I'm 20+ years old, no sons, no daughters
Hate putting my life in the hands of fake promoters
Hear the hate in my voice, right? I hate that you noticed
Niggas wanna strip you to the bone for shit you own
Hate a nigga like that, faggot, get your own
Hate that I can't roam the street without the clip and chrome
Knowing one day I'ma have to flip, c'mon
You know the shit don't stop 'til the Cris' don't pop
And you have to kill a nigga and your wrist don't lock
I'm trapped, the whole world's against me in fact
But ain't no turning back, bring it on
Hate the price of fame 'cause it cost too much
Can I live without y'all niggas saying I floss too much?
Hate the way you make this hate flow all through us
Steady looking for flaws through us, lucky me

[Chorus: Karen Anderson (Jay-Z)]
You only know what you see
You don't understand what it takes to be me
You only know what you see
(Since I was 4 years old
I been told, everything that glitters ain't gold)
You only know what you see
You don't understand what it takes to be me
(And now that I've arrived
I see those truths unfold before my eyes in a world so cold)
[Verse 3: Jay-Z]
And niggas see you in the street, pretend to be friendly
But I know any type of success breeds envy
I know in the back of your mind you're conjuring ways to hem me
Leave my friends in a circle pouring out Henny
But G's is heaven bound so how I'm gon' receive
Anything y'all pour to the ground next time throw it up
And ain't nothing changed so even in my afterlife I show it up
Don't grieve for me, my art remains
Like a dart from the speaker to your heart
Spiritually through the portal now my words is immortal
Don't plan to leave without a fight, I plant a seed I give life
Though I can't see past the girl's greed to call her wife
Next time you're thinking heist better be precise
'Cause I'm fully prepared, one of us is gon' leave here
I have no regrets even though I won't see grow
My godson Boogie, Sonny and Remo, lucky me

[Chorus: Karen Anderson (Jay-Z)]
You only know what you see
(I been told, since I was 4 years old
Everything that glitters ain't gold
And now that I've arrived)
You don't understand what it takes to be me
(I see those truths unfold before my eyes in a world so cold
Since I was 4 years old)
You only know what you see
(I been told, everything that glitters ain't gold
And now that I've arrived)
You don't understand what it takes to be me
(I see those truths unfold before my eyes in a world so cold)
You only know what you see
You don't understand what it takes to be me
You only know what you see
You don't understand what it takes to be me
You only know what you see
You don't understand what it takes to be me"
AsBESTos,Necro,"['hip hop', 'r&b']","[Intro]
Die! {*echo*}
""Nobody's getting rid of me, I'm staying -
Staying until you're all dead and buried - till you rot in your graves
You'll never get rid of me - never!"" {*breaking glass*}

[Verse 1]
Official on some Guy Fisher shit
Pop you with the biscuit, cut you into brisket
Buck you, the misfit, fuck you! you're dead, I wished it
Like Kid Twist, with the ice pick, jigging you, sticking you
Sickly, quickly, bitch, cuz I ain't digging you
Slit your guttural, like a butter roll, blood'll flood a pool
Fuck your slut, nut in her hole
Tortured on mortuary slabs, coronary stabs, extraordinary
The more the merrier, your inferior, bury ya'
Execute you bitch, shoot you in the tits
It's the Hoochie Coochie man, kicking brutal shit, recruit the sick
Got two pits playing salugi with your dick, volcanic like fuji
Contusions on your skull, rep Brooklyn like a cugine
Shitbird, get beheaded like Nick Berg, deaded you herb, human flesh turd, blood red on the curb
My saturday night special, splatter your brains
Send you the the church of the Latter Day Saints - in a box
Scatter the remains
[Hook: x2]
Cut open your grill - peel - slice
Motherfucker, I'mma carve you up, real nice
You get nothing but death, bucking at your chest
I'm Necro, you're fucking with me - you're fucking with the best

[Verse 2]
Body fluid ejaculation, you crack basing
You know the rep, think before you step, start to back-pacing
Fred, Mike and Jason a bitch, blast a clip, in your face
Like Berkowitz, did to Stacy Moskowitz, scare you out your wits
I'm completely rehabilitated, reinvigorated, reassimilated and relocated - psych
Leave you discombobulated, bob and weave
Jab your noggin, fuck up your Medulla Oblongata, clobbin you like Drago
Evil like Baba Yaga, I'm obligated to whip out my dick
Lady Gaga ate it - she ovulated
I'm not about love, so punk step to me drunk
With disrespect I'll take a chunk out of your neck, something I could be proud of
A loaded sawed off, explode your orifice off
Chuck norris is soft, kid I glorify gore, like Boris Karloff
A metal splint in your lung, regurgitation, inspiration
Like the Virgin Mary covered in elephant dung

[Hook: x2]
Cut open your grill - peel - slice
Motherfucker, I'mma carve you up, real nice
You get nothing but death, bucking at your chest
I'm Necro, you're fucking with me - you're fucking with the best
[Verse 3]
You're totaled, packed in a bag, like a yodel
Smash you like Cotto, leave you immobile, for acting like a fag Frodo
From the gallows, to a shallow catacomb, shoot Calicos at your dome, that's how it goes
Hit with the chrome bat til your mouth foams, shatter bones
Now you moan, I'm a known cat, prone to flip ask around homes
With a twelve gauge shotty, break in your crib enraged
Pull the trigger at your rib cage, for a big wage
When the metal's pulled, you're getting killed, it's settled
Hit you with a kettlebell, dead in the grill, you better chill
Choke a slut, crack open ya' coconut
Leave it broken, I'm a loco nut
Cut you back open, and burn you with a smoke butt
Like Napoleon Bonaparte, rip every bone apart
Blood on the linoleum, dead you like Joan of Arc
Dracula packing a revolver, involve you in an unsolvable attack
Whack you like the Black Dahlia

[Hook: x2]
Cut open your grill - peel - slice
Motherfucker, I'mma carve you up, real nice
You get nothing but death, bucking at your chest
I'm Necro, you're fucking with me - you're fucking with the best

{Asbestos} x2"
Dr Phil,Lil B,"['hip hop', 'r&b']","[Verse 1]
I'm so fucking swagged up, oh my god
Bitch fuck with me cause you know I'm straight hustling
Twelve cellphones with them k's like a Russian
Straight serving j's, yeah I'm strapped like a hustler
Buy a little pussy and your bitches want to fuck some
Damn it's a party cracking like it's bar mitzvah
Thirty six bitches on my dick cause I'm Sisqó
No homo bitch, I got broads out in Frisco
Ask my bitch if she limbo
Bitch better speak cause she know I play Nintendo
Bitch kiss my ring and she call me Carl's Winslow
I got about five hundred bitches
All of them love me
Oh my god﻿, all my bitches love me
Strapped with two nine's and they call me Willy Wonka
Crack a ho head and I'm working like a farmer
To sell guns and I'm cold like Norway
1989, put my bitch on a four-way
Heavily swagging, bitch check my meter
Pay her whole rent and she call me cousin Skeeter
We got money, we cashing out
Fuck a bitch
Why you hand-cuffing dudes, you a wife-beater
Bitch fuck with me, I pay that bitch when I see her
Pay a bitch head
Pay for head, I'm paying for head
Bitch fuck with me, I'mma tell her when I see her
Young Based God nigga, swag off the meter
Young Based God buy a bitch like reefer
Strapped with two nine's and they call me Quincy Jones
Got a AK and I look like Al Capone
Word around town I got five going for ten
Word around town I puts that Ying in that Yang
Ninety eight bitches and they call me Stephen King
Based God, Dr. Phil"
Lovecrimes,Frank Ocean,"['pop', 'r&b', 'jazz', 'hip hop', 'blues']","[Intro]
Crazy
I plead insanity
Crazy for you, baby
Crazy, na, na

[Verse 1]
Talk to me
And I better not hear a word
Oh, do me baby
Ooh, I better not feel it, girl
Baby, I, I still got one bullet left
In my nine
Finna do a love crime, love crime
Finna do a love crime

[Chorus]
Murder, murder, murder she wrote
Love crimes, love crimes
Murder, murder, murder she wrote
Love crimes, love crimes
[Verse 2]
You write me love letters
With your father's pen, oh
If he knew the freaky, freaky things
That you write with it, oh
Is it really wrong that I want
To be the baby daddy?
Is that a love crime, love crime?
Tell me it's a love crime

[Chorus]
Eh, murder, murder, murder she wrote
Love crimes, love crimes
Murder, murder, murder she wrote
Love crimes, love crimes
Oh, yeah, yeah
Murder, murder, murder she wrote
Love crimes, love crimes
Oh, yeah, yeah

[Bridge]
In the getaway car
You know I love it when the ride is smooth
If we ever get caught
It'd be a long vacation for two
[Chorus]
Murder, murder, murder she wrote
Love crimes, love crimes
Murder, murder, murder she wrote
Love crimes, love crimes
Murder, murder, murder she wrote
Love crimes, love crimes
Murder, murder, murder she wrote
Love crimes, love crimes

[Outro]
""Millions of years of evolution, right? Right!? Men have to stick it in every place they can, but for women– women, it is just about security, and commitment, and– ah, whatever the fuck else! If you men only knew. But you're not the jealous type, are you? You've never been jealous about me, have you? And why haven't you ever been jealous about me!? You are very, very sure of yourself, aren't you?"""
Modern Day Slavery,Joell Ortiz,"['hip hop', 'r&b']","[Intro]
They say nothing wrong
A change is gonna come
You know and I know
You know that I know
I know that you know that a gotta change is gonna come

[Hook: Joell Ortiz]
First you clean his hands from top to bottom
Grab the fabrics, then wash 'em
Then you go pick the cotton
Listen, y'all, I'm tired, man, I swear
(I've been running) for so long
Tryin' to be strong, but yo (I've been running)
I'm exhausted, my feet hurt
(I don't) Wanna run no more
(I don't) Wanna run no more
They said (a change is gonna come)
When? (a change is gonna come)
When? (a change is gonna come)
[Verse 1: Joell Ortiz]
Ain't nothin' changed 'cept the chains
They're restrainin' our physical frame
Mentally we're still livin' the same
It's lockdown, they knocked down the Towers to raise tax
Anything they borrow we pay back
I live in the hood; you'll never bump into Pat Sajack
But we spin the wheel every time we chill
Cops hate Blacks and Hispanics
They draw gats and just blam it
Before they ask where your hand is
I don't see how a wallet can be mistaken for a cannon
So please don't let 'em play us no more
In every way I'm ready, willin', and able to war
Like any day now it could pop, I'll be in the front
Like, ""Please may the force be with me and this pump.""
Housing want me to work 'cause I'm still on my mom's lease
Threatenin' to raise the rent if I don't pick up them park leaves
Ain't nothin' in this world for free
But somehow they got us fooled like this world is free

[Hook]
This is modern day slavery, you see, carry ID
Water is a fee
This ain't how it's supposed to be, man
(I've been running) for so long
Tryin' to be strong, but yo (I've been running)
I'm exhausted, my feet hurt
(I don't) Wanna run no more
(I don't) Wanna run no more
They said (a change is gonna come)
When? (a change is gonna come)
When? (a change is gonna come)
[Verse 2: Immortal Technique]
Our people are the product of genocide and slavery
Everything in the ghetto was how it was made to be
Designed in a process, Prison Industrial Complex
Niggas transformed into numbers and objects
We pay the Devil rent for livin' in hell
'Cause the projects was built on the spot where Lucifer fell
Incarcerated knowledge heavy weight
Every black man should read Deuteronomy Chapter 28
Cursed in the city like we're cursed in the field
Cursed on the border, and cursed by the New World Order
Our sons and daughters were stolen by another people
Yoke of iron, end of the Earth, Land of the Eagle
This is the sequel to the prophecy
Freedom, whether peaceful or violent, is my philosophy
I built an army, now I'm gonna build a nation
The foundation of a new civilization
And overthrow the plantation

[Hook: Immortal Technique]
This is modern day slavery, see?
It was designed to be, Patriot Act 3
Just wait, young nigga, you'll see
(I've been running) for so long
My people been so strong, but yo (I've been running)
I'm exhausted, my heart hurts
Gunning them all, I'm gunning them all
I said, we gotta make a (change come)
We gotta make a (change come)
Quick, motherfucker, lock and load!
[Outro: Immortal Technique]
Immortal Technique, Joell Ortiz
Harlem, Brooklyn
You know what it is, nigga
The rebirth of the Young Lords
Coming soon, motherfucka
You sleep and you die, nigga
Good night, motherfucka!"
