song,artist,genres,lyrics
Home Run,Juelz Santana,"['hip hop', 'r&b']","Ai , im baaaack
Wake up in the mornin with one thought
I gotta get it
Then I hop up in the shower, had my bitch already in it
While she wipe me down, I stroke her breasts
Hopped out the shower soaking wet
I’m already fly and I ain’t even put my clothes on yet
Cuz
They get fly (they get fly), I am fly (I am fly)
They get fly (they get fly), I am fly (I am fly)
They get fly (they get fly), I am fly (I am fly)
Aight, ya niggas know me!

[Lil Wayne - Hook]
Now I got money on money, and bitches on bitches
Bring my chopper to the office, let it handle all my bidness
I got money on my mind, and I’m thinking all day
Keep a bad bitch to fuck me when I had a long day
Cuz my money make money and my bitches get bitches
Bring my chopper to the office, let it handle all my bidness
I get baseball money, check my home run average
Take over the game and let my homeboys have it
[Juelz Santana]
Uh, aight
Ok I’m up to the plate, homerun is gone
You know what that means, time to bring that money home
Brown paper bags still talk that money
And my money make money I don’t touch that money
I got money mad at me yeah upset money
I got money over money thats bunk bed money
Crib so spacious, whip so matrix
Keep chicks with me, and they [their] hips bodacious
Nigga like me move quick, no patience
Rockstar life, everyday clique wasted
Everyday’s a long day, I get money the long way
Go to sleep then wake up with it, bed full of naked bitches
They know I got that juice and they just want a taste, a sippin’
I be battin’, they be pitchin’, Barry Bonds the way I hit it
Listen, they get fly (they get fly), I am fly (am fly)
Aight, ya niggas know me!

[Hook]

[Juelz Santana - Verse 2]
Uhhh
I’m international like my fucking visa
Swag on Easter, that wrist on freezer
That bitch on diva, waist on heater
Lungs on reefer, pockets on pizza
And when it come to gettin dough I’ma roll like Pita (yup)
Coke on the scale, Libra
Hail Mary niggas, no Mother Teresa
Aight, I’m forever on my grind (grind)
Cuz you can freeze the watch but you can never freeze the time (no)
You pop shit, I show shit
You got shit, I own shit
That fly shit, I’m on it
I’m hot shit, you novice
Man, ok I’m up to the plate, homerun is gone
You know what that means, it’s time to bring that money home
[Hook]

[Juelz Santana]
Wake up in the mornin with one thought
I gotta get it
Then I hop up in the shower, had my bitch already in it
While she ride me down, I stroke her breasts
Hopped out the shower soaking wet
I’m already fly and I ain’t even put my clothes on yet
Cuz
They get fly (they get fly), I am fly (I am fly)(x3)
Aight, ya niggas know me!

[Hook]
[End]"
Where Is My Mind?,Pixies,"['rock', 'alternative', 'pop', 'metal']","[Intro: Black Francis, Kim Deal]
Ooh—stop

[Verse 1: Black Francis]
With your feet on the air and your head on the ground
Try this trick and spin it, yeah (Yeah)
Your head will collapse, and there's nothing in it
And you'll ask yourself

[Chorus: Black Francis]
Where is my mind?
Where is my mind?
Where is my mind?
Way out in the water, see it swimmin'

[Verse 2: Black Francis]
I was swimmin' in the Caribbean
Animals were hiding behind the rocks
Except the little fish
Bumped into me, I swear he was trying to talk to me, koi-koi
[Chorus: Black Francis]
Where is my mind?
Where is my mind?
Where is my mind?
Way out in the water, see it swimmin'

[Verse 3: Black Francis]
With your feet on the air and your head on the ground
Try this trick and spin it, yeah
Your head will collapse, and there's nothing in it
And you'll ask yourself

[Chorus: Black Francis]
Where is my mind?
Where is my mind?
Where is my mind?
Way out in the water, see it swimmin'

[Outro: Black Francis]
With your feet on the air and your head on the ground
Try this trick and spin it, yeah"
Turn My Swag On Remix,Soulja Boy,"['hip hop', 'r&b']","[Intro: Soulja Boy & Lil Wayne]
Soulja Boy
Weezy

[Chorus: Soulja Boy]
Hopped up out the bed, turn my swag on
Took a look in the mirror, said, ""What's up?""
Yeah, I'm gettin' money, oh
Hopped up out the bed, turn my swag on
Took a look in the mirror, said, ""What's up?""
Yeah, I'm gettin' money, oh

[Verse 1: Soulja Boy]
Count so much money every day is gettin' my arms swole
My swag is outer space, similar to a wormhole
Dunkin' on the game like Stephon Marbury
I got red Aston Martin, I call it my strawberry
All work, no play, this is my playground
Rappers on tour but, they ridin' a Grayhound!
But they don't stay round now, my Lambo got surround sound
I'm hotter than plasma, lava, magma!
Knick-knack, paddywhack, give the dog a bone
I'm like get back, gimme dat, give the king his throne
You like knick-knack, paddywhack, give the dog a bone
I'm like get back, gimme dat, give the king his throne
Honey, I am home
Walk into the dealership, add another whip to my collection
Of pink slips
I am it!
And don't forget, this, this is the remix!
[Chorus: Soulja Boy]
Hopped up out the bed, turn my swag on
Took a look in the mirror, said, ""What's up?""
Yeah, I'm gettin' money, oh
Hopped up out the bed, turn my swag on
Took a look in the mirror, said, ""What's up?""
Yeah, I'm gettin' money, oh

[Verse 2: Lil Wayne]
Swagger on a zillion
I'm Louie V down, like a Louie V chameleon
House so big, like I live in a buildin'
No chandeliers, I got guns hangin' from the ceilin'
Brand new car, I divorced the top
See, homie, you a square, I'm a Porsche Box
Long hair, don't care, holla back, bitch
I'm in the bathroom, takin' me a rich nigga shit
Yeah, gangsta to the gristle, swagger on official
I'm the shit and you, you just a maggot on a tissue
Better tell 'em I'm hotter than a Arizona missile
White Benz, chrome wheels like a napkin on a nickel
Young Moolah, baby, Weezy baby, don't forget the Weezy baby
Black card boy, make ya throw away that Visa baby
You ain't on the planet I'm on, and I never leave my swagger at home

[Chorus: Soulja Boy]
Hopped up out the bed, turn my swag on
Took a look in the mirror, said, ""What's up?""
Yeah, I'm gettin' money, oh
Hopped up out the bed, turn my swag on
Took a look in the mirror, said, ""What's up?""
Yeah, I'm gettin' money, oh"
Alive Nightmare,Kid Cudi,"['hip hop', 'r&b']","[Intro]
So mean
So mean

[Chorus]
Every time the moon shines
I become alive, yeah
And every time the moon shines
I become alive, yeah

[Verse 1]
I'm feeling strange in the night
I'm not myself, I feel I'm thrown into a fight
Ah, nowhere to run, nowhere to hide, nothing's right
My skin is burning and my heart begins to speed
There's something going wrong with me
I am changing rapidly, ay
I'm feeling stronger, more alert, I'm on the move, mm
I smell her scent, and I know I will find her soon, soon, soon
The one to come and free me from this fate
I'll find her, it's not too late, hey, hey
[Chorus]
Every time the moon shines
I become alive, yeah
And every time the moon shines
I become alive, yeah

[Verse 2]
I'm a beast in the night
I'm on the prowl while I'm hoping to find some light
You call it Heaven, I do too, we feel the same
Ain't nothing wrong, I'll be feasting on something brave, ay
A sexy lady who's pure, she has the cure, ah
I hope she can find the man within the beast, and
I hope she saves me from the curse I have to beat, hey
I hope she figures out a way to save my soul
Yeah, to save my heart, hey

[Chorus]
Every time the moon shines
I become alive, yeah
And every time the moon shines
I become alive, yeah

[Post-Chorus]
Na-na-na-na-na-na-na-na, na
Whoa, na-na-na-na-na-na-na, na
Na-na-na-na-na-na-na-na, na
Whoa, na-na-na-na-na-na-na, na
[Verse 3]
I watch the sun collapse and took up in the clizzoud
I am the lone wolf, go where I wanna
Let the moon shine, be the guide to the lizzight
Even when I stray away, the light never left me
Uh, I learn to follow my instinct
Blinded by the light, rather that than the evil
Feelin' out of place in a room full of people
Try and be the same, but you know you're not a sequel
Your fate will be
Whatever it shall be, be, be, be, be
Won't fight no more
I let these things just be, be, be, be

[Chorus]
Every time the moon shines
I become alive, yeah
And every time the moon shines
I become alive, yeah

[Post-Chorus]
Na-na-na-na-na-na-na-na, na
Whoa, na-na-na-na-na-na-na, na
Na-na-na-na-na-na-na-na, na
Whoa, na-na-na-na-na-na-na, na"
Understand,Outasight,"['alternative', 'hip hop', 'r&b']","[Intro]
Never ever make a sound
Never ever make a sound
Never ever make a sound

[Verse 1: Outasight]
See, this is the part where I let it go
Never been one to ever-ever fuss and fight
The spotlight's on, now it’s time for the show
Where everyone except me seems to be alright
Oh my-oh my future is in the hands of you
No lie-no lie, it seems to scare the shit out of me
The fact remains the truth’s the toughest pill to swallow
Do you have something to drink that I can borrow?

[Hook]
See you hear you, don’t you let go, oh
Feel you don’t quite get me, you never do
I only hear what I want to hear
So tell me something good now that I’m here
I said ten-four and over and out
Copy, I get what you’re talking about
[Verse 2: Outasight]
See, this is the part where it let it go
Never ever been one to agree to disagree
Didn’t sign up to watch from the front row
I thought the world revolved around me
Damn this dialogue get’s so confusing
Not understanding, I feel like I’m losing hope
For every word that you scream or utter
Goes in one ear and out the other
Motherfucker won’t fight for long, used to argue just to argue
See the odd truth that I liked it
Later on, I moved onto a different ensemble around truth
Hmmm, despite shit seeming like it never gon change
So far gone but really lack range
Not all the pitfalls come with fame
Being regular is hard enough, so pick a side, ala carte
Do you listen to them or do you do what you want?
I may be stubborn but unlike many others
I don’t get offended when people act above us, I say fuck ‘em

[Hook 2]
See you hear you, don’t you let go, oh
Feel you don’t quite get me, you never do
I only hear what I want to hear
So tell me something good now that I’m here
I said ten-four and over and out
Copy, I get what you’re talking about
I said ten-four and over and out
Copy, I get what you’re talking about
Ten-four and over and out
Copy, I get what you’re talking about
Ten-four and over and out
Copy, I get what you’re talking about
See you hear you, don’t you let go, oh
Feel you don’t quite get me, you never do
I only hear what I want to hear
So tell me something good now that I’m here
I said ten-four and over and out
Copy, I get what you’re talking about
[Outro]
Never ever make a sound
Never ever make a sound
Never ever make a sound"
Fame And Fortune,Outasight,"['hip hop', 'r&b']","[Hook]
First thing’s first, I heard that
Everyone thinks they deserve a little fame and fortune
They want it all, have it all
Lastly that I find, I am bout to go for mine
I can’t explain it, I want it, I have to have it all

[Verse 1: Outasight]
Back from hiatus, let me be the first to say hi haters
Tailored slacks, raw labors
Substance, style, we all lust for the papers
School of hard knocks, no majors
Everyone’s on ya tip, no waiters, still partying, no favors
Got Bacardi and some bitches but no faders
And now you feel me and now you don’t
I don’t care, I lost my mind with my wallet
So I got no ideas, years of raising the bar and breaking in glass cheers
Who knew it’d be so stressful to be successful?
But now that I’m here, revenge is a dish best served cold
So use it as an F-U to those who test you
[Hook]

[Verse 2: Outasight]
I want a house in the hills, not worry bout bills, I want it all
I want the flyest clothes and the finest hoes, I want it all
Don’t care about greed, gimme what I need and so much more, I want it all
And you shoulda known better, oh you a go-getter, I go get it
Wanna be as big as Zeppelin but escalade to heaven forever
Kinda like infinity and beyond, I’m Buzz Lightyears ahead of 'em
They gas, I unleaded them, if they good, I’m better

[Hook 2X]"
Fame And Fortune Remix,Outasight,"['hip hop', 'r&b']","[Verse 1: The Kid Daytona]
Daytona, I want the fame and the fortune
The range and the Porsche and 34 ceilings in the penthouse apartment
To spend the fortune on clothes from Ralph Lauren
Oh, with the new girl, gee Dorsey
And who he involved with? You can check till you teeth
I mean I should be eating portraits on seas of San Champez
85 degrees and blue oceans where accents are green
The passion to see in life without a wall or a need
It’s like falling free, don’t it seem like everyone’s dream like your current dream?
Yeah, I can now see it in front of me, I won’t let what’s become of me
Become of me and get it all taken from me, at the snap of a finger
June turns December, the end of it and nobody can remember

[Hook]
First thing’s first, I heard that
Everyone thinks they deserve a little fame and fortune
They want it all, have it all
Lastly that I find, I am bout to go for mine
I can’t explain it, I want it, I have to have it all
[Verse 2: Outasight]
Back from hiatus, let me be the first to say hi haters
Tailored slacks, raw labors
Substance, style, we all lust for the papers
School of hard knocks, no majors
Everyone’s on ya tip, no waiters, still partying, no favors
Got Bacardi and some bitches but no faders
And now you feel me and now you don’t
I don’t care, I lost my mind and my wallet
So I got no ideas, years of raising the bar and breaking in glass cheers
Who knew it’d be so stressful to be successful?
But now that I’m here, revenge is a dish best served cold
So use it as an F-U to those who test you

[Hook]

[Bridge: Outasight]
I want a house in the hills, don’t worry bout bills, I want it all
I want the flyest clothes and the finest hoes, I want it all
Don’t care about greed, gimme what I need and so much more…

[Verse 3: Donny Goines]
And now everything that always glitters ain’t gold
You listen to hoes and all the sudden mimic the flow
Visions of dough and how you look exquisite in clothes you can’t afford
That ain’t the cause but you ripping these hoes, right?
You want the cover of GQ, centerfolds and seafood
Diddy got it, why not me? You can drive a Bentley, fly on private jets
And dive all night, now you wonder why you in debt
From models and poles, put models in shows
When I was in fold, you be the greatest famous marvel they know
Grace the stage, bouncing from state to state, no longer day to day
Living in graded space, no wonder, you got it major flossing
But in reality, there ain’t no major boss men
You living with your mama and your baby’s toilet
So why you fixated on the fame and fortune? Get a job nigga"
Freak-A-Leek Remix,Petey Pablo,"['hip hop', 'r&b']","[Lil' Jon]
Yeah, Lil' Jon, uh

[Female] (Petey Pablo) {Jermaine Dupri}
How you like it daddy (would ya do it from the front?) {uh huh}
How you like it daddy (would ya do it from the back?) {uh huh}
How you like it daddy (gonna break it down like that) {break it down like that, come on}
How you like it daddy (would ya do it from the front?) {aha, Petey Pablo}
How you like it daddy (would ya take it from the back?) {ha, and the boy JD}
How you like it daddy (gonna break it down like that) {uh, ha, ha, ha}

[Lil' Jon]
Freek-a-leek

[Verse 1: Jermaine Dupri]
One that's always thinking of new shit
Any place, anytime she wanna do it
Keep her pumping that ""get crunk"" fluid
Never hesitate, shorty get right to it
I know that it's her when my phone go ring
In three in the morning, it's time to cut
Sometimes she like it soft but not as much as she like it
When a nigga straight beat it up
She don't care where I put it at, long as I put it back
Deep down deep down in that puddy cat
If you ain't never had a freak-a-leak in your life
I suggest you get you one cause ain't nothin' like a
[Petey Pablo] (Female) {Lil' Jon}
{Freak a leak}
(How you like it daddy) Shanika, Kiesha, Tara {Freak-a-leek}
(How you like it daddy) Shawna, Sabrina, Crystal, Deronda {Freak-a-leek}
(How you like it daddy) Lisa, Felicia, Tenisha, Shivon {Freak-a-leek}
(How you like it daddy) Monica, Monique, Christina, Yolanda

[Verse 2: Twista]
Girl I love how you clap that ass
The way your booty cheeks move around when I tap that ass
She twerk it so slow she gon' stack some cash
Poppin' it quick askin' me Twista how you rap that fast
Wanna spit like this cause it is I from the Chi
Wanna get that booty up in the bed, thighs open wide
Every time she speak she tell me her throat go deep
And how she a freak a leak so I kept my eyes on the prize
Shorty work that, twerk that good
Pump back, show me how you cut back good
Suck that, love it how you take that good
Show Lil' Jon and Petey Pab how you shake that stuff
Never be trippin', she cuttin' like it ain't nothin'
A nymphomaniac, always got got fussin', suckin' and fuckin'
She told me next time better be sure I bring the sea grams
And she gon' bring her girl and we can all have a threesome

[Petey Pablo] (Female) {Lil' Jon}
{Freak a leak}
(How you like it daddy) Shamika, Kiesha, Tara {Freak-a-leek}
(How you like it daddy) Shawna, Sabrina, Crystal, Deronda {Freak-a-leek}
(How you like it daddy) Lisa, Felicia, Tenisha, Shivon {Freak-a-leek}
(How you like it daddy) Monica, Monique, Christina, Yolanda
[Verse 3: Petey Pablo]
You ain't never had a freak like this
That do all the tricks and could do what she do to a dick
Takin' it so superb that it'd a make you sick
Can't even imagine who the fuck that taught her this shit
Everybody wanna know who the hot chick is
I was with in the video in the blue outfit
Like I'm a run and tell a nigga how to find a bitch
I might try and find a how myself, how you love that there
I keep 'em all to self, I don't like to share
Unless they determine that they into that
Being the man I am I'm a let them help their self
And just hope that I live to tell it, I'm good for that
Every now and then it's good to reflect
And think back to all the hot twat that you done hit
Or you done licked, any nigga say that he ain't did it
He a lying ass son of a bitch, hahaha

[Petey Pablo] (Female) {Lil' Jon}
{Freak a leak}
(How you like it daddy) Shamika, Kiesha, Tara {Freak-a-leek}
(How you like it daddy) Shawna, Sabrina, Crystal, Deronda {Freak-a-leek}
(How you like it daddy) Lisa, Felicia, Tenisha, Shivon {Freak-a-leek}
(How you like it daddy) Monica, Monique, Christina, Yolanda

[Female] (Lil' Jon)
How you like it daddy (would ya do it from the front?)
How you like it daddy (would ya do it from the back?)
How you like it daddy (gonna break it down like that)
How you like it daddy (would ya do it from the front?)
How you like it daddy (would ya take it from the back?)
How you like it daddy (gonna break it down like that)"
Assassination Day,Ghostface Killah,"['hip hop', 'r&b']","[Intro: Sample]
""There's no coke
What?
You heard me you dumb fuck, there's no coke
What the fuck do you mean there's no coke?
I've been up and down this ship
I've been in every fucking room
There's gotta be coke
There is nothing, nothing.""

*heavy panting*
Help PLEASE!
*panting continues*
Help me!
*gunshot*

[Chorus: Masta Killa]
It's assassination day, I stalk

[Verse 1: Inspectah Deck]
I move through the Third World, my third eye's the guiding light
Invite the fight, we all die tonight
The life I live's a 25 to life bid
Parole reneged, I stroll the globe fugitive
Cream is short, Cee Cipher Power stalk, plus the fiend talk
3 Gs the cost in Supreme Court
White lies and blackmail land me back in jail
We're all for sale, a stolen goal but it fail
Stranded on the front line, I shine to the dumb and blind
It comes time I take back what was once mine
Crunch time in the first quarter, from the worst slaughter
Devil's poisoning the birth water
The earth daughter rest her head on my chest
Through the struggle we cuddle under half-moon crest
While the press plant fear and exploit the gun blasting
Central broadcasting is shackling, nerves are unfastened
Trapped in deep water, gasping
I clash with the titans for my half on the action
[Verse 2: RZA]
I stop producers careers, the weak spot was the ears
Scorpion darts hits the mark, pierce the heart with silver spears
You're bewildered, my unsaturated, low filtered
Devils still feel this so you're living built tilted
MCs upon their axis, their body hazard tactic
Lactic acid, desert dry cactus, practice
You can never match this invincible, Wu-Tang indispensable
One nation under God, indivisible with liberty and justice
The mic is in my clutches
Thugs who bring ruckus leave in crutches
Unforgivable snakes face the double-edged swords starts to swivel
Decapitates the head, makes the projects more livable
Interchangeable, caution: flammable
My chamber is 99 plus 1  unnameable angles
And strangles, microphone cords start to dangle
Silent as the gases that pass throughout your anal
We creep through your doors
Seep out like sweat through the pores
Destroy your internal organs with the biological warfare

[Verse 3: Raekwon]
First of all before we move on, this shit is like a Yukon, don
Spread it out like Grey Poupon
Splurging, merging in the suburbs
Using this just like an adverb, action word, flowing like a blackbird
God came in, aiming like Terry Bradshaw
He hit the crash bar, stay relaxed God, his shit is smashed, Pa
You handle this just like algebra, UFO spot 'em like Galaga
Holding like bullet-proof Acuras
You so fly, yeah right, you want to get me high, yo, Bobby
You hear how I'm shooting it like they blue tops
No, you won't play me like your lady
Pay me 380, spit it at you like a baby, final destination, Hades
[Verse 4: Masta Killa]
War's extremely serious and it saddens me
To have to take things to deadly measures
And have you measured and shot for no pay
It's assassination day I stalk my enemy like prey
Tranqued by deceptional sounds that deceives
And lures MCs to the lair
With a mic-like bait, then awaits to be bitten by greed
Temptation tempts my victim to proceed
Forward, ignorance wouldn't allow retreat
You'd rather pursue death than admit defeat
Now who's best to describe for what I specialize in
Murderous rhyming, constantly inclining
My mind spits with an enormous kickback
Your brain then absorbs the impact
Disorderly conduct from the crowd is the feedback

[Chorus: Masta Killa]
It's assassination day, I stalk"
In the Trunk,Tech N9ne,"['hip hop', 'dance', 'r&b', 'jazz']","[Hook: Tech N9ne]
(Threw her in the trunk)
Was tryin' to smash, get her cash
But her mouth was hella fast, so I threw her ass (in the trunk!)
And even though she had a big plump rump
I threw her in and let the beat bump
(Threw her in the trunk!)
(Threw her in the trunk)
Was tryin' to smash, get her cash
But her mouth was hella fast, so I threw her ass (in the trunk!)
And even though she had a big plump rump
I threw her in and let the beat bump
(Threw her in the trunk!)

[Verse 1: Tech N9ne]
2K11, ridin' solo
In the Benz on twins hella low pro
Slangin' CDs out the trunk for mo' dough
My mojo said, ""a thick bitch"" so I go slow
I pull it over tryin' to get up on her bumper
Wantin' to crunch her so I said, ""baby my new CD is a slumper""
It'll make the trunk thunder, girl your rump give me lumber
Up under the sheets I can put you in a real deep slumber
But she said fuck Tecca Nina didn't feel her
Did everything within' my power not to kill her
Disrespectful bitch I really wish that I can grill her
Light on my head that said put her in the trunk man you can steal her
I put the hater bitch in a head lock, she flippin' out
I pop the trunk she crunk but I ain't 'bout to chicken out
I'm sick and tired of bein' nice and lettin' shit go by
She said fuck that Tech N9ne bullshit so I
[Hook: Tech N9ne]
(Threw her in the trunk)
Was tryin' to smash, get her cash
But her mouth was hella fast, so I threw her ass (in the trunk!)
And even though she had a big plump rump
I threw her in and let the beat bump
(Threw her in the trunk!)
(Threw her in the trunk)
Was tryin' to smash, get her cash
But her mouth was hella fast, so I threw her ass (in the trunk!)
And even though she had a big plump rump
I threw her in and let the beat bump
(Threw her in the trunk!)

[Verse 2: Tech N9ne]
I'm bumpin' everything that beat like gangsta shap
I bangs the rap, in her ear 'til she gives thanks to that
Never take a prisoner where you hang your hat
I'ma roll around with her in the trunk
Poppin' that Tech N9ne slump 'til the little bitch faint collapse
I'ma roll to Topeka
Tecca Nina'll reach her if I gotta double back to Eureka
Crispy flows through my tweeters
Bumpin' this ring when I roll through Attica
Wait a minute I think this bitch is trying to kick a hole through my speakers
Get my gun then I open the trunk and said
[Interlude: Tech N9ne]
Get out the god damn trunk, get on the ground! Take off your god damn belt!
Put it 'round your ankles, I'ma tie up your wrist myself! (Okay, okay)
I just wanted to drink and show you what the dong'll do!
BITCH! The hell wrong with you?

[Bridge: Tech N9ne]
Eyy, the hot sex was not slam dunked
Rolled for hours then I stopped right off Van Brunt
When a bitch talkin' crazy like a lost man's chump
Short say ""I throw a bitch in the god damn trunk!""

[Hook: Tech N9ne]
(Threw her in the trunk)
Was tryin' to smash, get her cash
But her mouth was hella fast, so I threw her ass (in the trunk!)
And even though she had a big plump rump
I threw her in and let the beat bump
(Threw her in the trunk!)
(Threw her in the trunk)
Was tryin' to smash, get her cash
But her mouth was hella fast, so I threw her ass (in the trunk!)
And even though she had a big plump rump
I threw her in and let the beat bump
(Threw her in the trunk!)
[Verse 3: Tech N9ne]
Hours turned to days, days turned to weeks
Had to drill holes in the trunk so she can drink and eat
Whatever I stuffed through the holes hot dogs and ho-hoes
Kidnapped on the low low, spoke no mo' oh no go slow, there the po-po
I gotta ditch this bitch with the quickness
Man I just remembered this benzo is lifted
From Swope Park, that's where I'm 'bout to go dart, let her know art
For the evil bitch and the brainless witch with no heart, it got so dark

[Interlude: Newswoman]
Police are still looking for 21 year old Crystal Nelson
Who has been missing since last Sunday
Friends and family told police that they thought this was
Yet another one of Crystal's weekend excursions
But after all this time, they're still worried sick

[Verse 4: Tech N9ne]
It's been fun momma, fed her my catalog like Adderall
Fucked up in the trunk with rump is how I had her y'all
In a ditch, walked back to the trunk, wicked is how I sounded
Whispered, ""Bet that you love Tech N9ne now, bitch""
(Threw her in the trunk!)

[Outro: Police officer]
I think I've found the missing Mercedes here in Swope Park-uh
In a ditch near shelter five
It's kinda appears the car is still running-uhm
Music playing, I'm approaching the car now
Let me turn down the music
(God damn [?])
I'ma go ahead pop the trunk
There's an African-American female [] been shot up and appears to be delirious
It could be the girl that's missing from last week
(Tech Tech Nine Nine Tech Tech Nine Nine)
(Tech Tech Nine Nine Tech Tech Nine Nine)
(Tech Tech Nine Nine Tech Tech Nine Nine)

(Threw her in the trunk)
Heheheheh.."
